afconvert Audio File Convert
afinfo    Audio File Info
afplay    Audio File Play
airport   Manage Apple AirPort
alias     Create an alias
alloc     List used and free memory
apropos   Search the whatis database for strings
asr       Apple Software Restore
atsutil   Font registration system utility
awk       Find and Replace text within file(s)
basename  Convert a full pathname to just a filename
bash      Bourne-Again SHell
bg        Send to background
bind      Set or display readline key and function bindings
bless     Set volume bootability and startup disk options
break     Exit from a For, While, Until or Select loop
builtin   Execute a shell builtin
bzip2     Compress or decompress files
caffeinate Prevent the system from sleeping
cal       Display a calendar
calendar  Reminder Service
caller    Return the context of a subroutine call
cancel    Cancel print jobs
case      Conditionally perform a command
cat       Concatenate and print (display) the content of files
cd        Change Directory
chflags   Change a file or folder's flags
chgrp     Change group ownership
chmod     Change access permissions
chown     Change file owner and group
chroot    Run a command with a different root directory
cksum     Print CRC checksum and byte counts
clear     Clear terminal screen
cmp       Compare two files
comm      Compare two sorted files line by line
command   Run a command (not a function)
complete  Edit a command completion [word/pattern/list]
continue  Resume the next iteration of a loop
cp        Copy one or more files to another location
cron      Daemon to execute scheduled commands
crontab   Schedule a command to run at a later date/time
csplit    Split a file into context-determined pieces
csrutil   Configure System Integrity Protection (SIP)
curl      Transfer data  from or to a server
cut       Divide a file into several parts
date      Display or change the date & time
dc        Desk Calculator
dd        Convert and copy a file, clone disks
declare   Declare variable & set attributes
defaults  Set preferences, show hidden files
df        Display free disk space
diff      Display the differences between two files
diff3     Show differences among three files
dig       DNS lookup
dirname   Convert a full pathname to just a path
dirs      Display list of remembered directories
diskutil  Disk utilities - Format, Verify, Repair
disown    Unbind a job from the current login session
ditto     Copy files and folders
dot_clean Remove dot-underscore files
drutil    Interact with CD/DVD burners
dscacheutil  Query or flush the Directory Service/DNS cache
dseditgroup  Edit, create, manipulate, or delete groups
dsenableroot Enable root access
dsmemberutil View user and groups rights
dscl      Directory Service command line utility
du        Estimate file space usage
echo      Display text on screen 
ed        A line-oriented text editor (edlin)
enable    Enable and disable builtin shell commands
env       List or Set environment variables
eval      Evaluate several commands/arguments
exec      Execute a command
exit      Exit the shell
execsnoop Snoop new process execution
expand    Convert tabs to spaces
expect    Programmed dialogue with interactive programs
Also see AppleScript
export    Set an environment variable
expr      Evaluate expressions
false     Do nothing, unsuccessfully
fc        Fix command (history)
