866,IBM866
ansi_x3.4-1968,windows-1252
arabic,ISO-8859-6
ascii,windows-1252
asmo-708,ISO-8859-6
big5,Big5
big5-hkscs,Big5
chinese,GBK
cn-big5,Big5
cp1250,windows-1250
cp1251,windows-1251
cp1252,windows-1252
cp1253,windows-1253
cp1254,windows-1254
cp1255,windows-1255
cp1256,windows-1256
cp1257,windows-1257
cp1258,windows-1258
cp819,windows-1252
cp866,IBM866
csbig5,Big5
cseuckr,EUC-KR
cseucpkdfmtjapanese,EUC-JP
csgb2312,GBK
csibm866,IBM866
csiso58gb231280,GBK
csiso88596e,ISO-8859-6
csiso88596i,ISO-8859-6
csiso88598e,ISO-8859-8
csisolatin1,windows-1252
csisolatin2,ISO-8859-2
csisolatin3,ISO-8859-3
csisolatin4,ISO-8859-4
csisolatin5,windows-1254
csisolatin6,ISO-8859-10
csisolatin9,ISO-8859-15
csisolatinarabic,ISO-8859-6
csisolatincyrillic,ISO-8859-5
csisolatingreek,ISO-8859-7
csisolatinhebrew,ISO-8859-8
cskoi8r,KOI8-R
csksc56011987,EUC-KR
csmacintosh,macintosh
csshiftjis,Shift_JIS
cyrillic,ISO-8859-5
dos-874,windows-874
ecma-114,ISO-8859-6
ecma-118,ISO-8859-7
elot_928,ISO-8859-7
euc-jp,EUC-JP
euc-kr,EUC-KR
gb18030,gb18030
gb2312,GBK
gb_2312,GBK
gb_2312-80,GBK
gbk,GBK
greek,ISO-8859-7
greek8,ISO-8859-7
hebrew,ISO-8859-8
ibm819,windows-1252
ibm866,IBM866
iso-8859-1,windows-1252
iso-8859-10,ISO-8859-10
iso-8859-11,windows-874
iso-8859-13,ISO-8859-13
iso-8859-14,ISO-8859-14
iso-8859-15,ISO-8859-15
iso-8859-16,ISO-8859-16
iso-8859-2,ISO-8859-2
iso-8859-3,ISO-8859-3
iso-8859-4,ISO-8859-4
iso-8859-5,ISO-8859-5
iso-8859-6,ISO-8859-6
iso-8859-6-e,ISO-8859-6
iso-8859-6-i,ISO-8859-6
iso-8859-7,ISO-8859-7
iso-8859-8,ISO-8859-8
iso-8859-8-e,ISO-8859-8
iso-8859-9,windows-1254
iso-ir-100,windows-1252
iso-ir-101,ISO-8859-2
iso-ir-109,ISO-8859-3
iso-ir-110,ISO-8859-4
iso-ir-126,ISO-8859-7
iso-ir-127,ISO-8859-6
iso-ir-138,ISO-8859-8
iso-ir-144,ISO-8859-5
iso-ir-148,windows-1254
iso-ir-149,EUC-KR
iso-ir-157,ISO-8859-10
iso-ir-58,GBK
iso8859-1,windows-1252
iso8859-10,ISO-8859-10
iso8859-11,windows-874
iso8859-13,ISO-8859-13
iso8859-14,ISO-8859-14
iso8859-15,ISO-8859-15
iso8859-2,ISO-8859-2
iso8859-3,ISO-8859-3
iso8859-4,ISO-8859-4
iso8859-5,ISO-8859-5
iso8859-6,ISO-8859-6
iso8859-7,ISO-8859-7
iso8859-8,ISO-8859-8
iso8859-9,windows-1254
iso88591,windows-1252
iso885910,ISO-8859-10
iso885911,windows-874
iso885913,ISO-8859-13
iso885914,ISO-8859-14
iso885915,ISO-8859-15
iso88592,ISO-8859-2
iso88593,ISO-8859-3
iso88594,ISO-8859-4
iso88595,ISO-8859-5
iso88596,ISO-8859-6
iso88597,ISO-8859-7
iso88598,ISO-8859-8
iso88599,windows-1254
iso_8859-1,1987,windows-1252
iso_8859-1,windows-1252
iso_8859-15,ISO-8859-15
iso_8859-2,1987,ISO-8859-2
iso_8859-2,ISO-8859-2
iso_8859-3,1988,ISO-8859-3
iso_8859-3,ISO-8859-3
iso_8859-4,1988,ISO-8859-4
iso_8859-4,ISO-8859-4
iso_8859-5,1988,ISO-8859-5
iso_8859-5,ISO-8859-5
iso_8859-6,1987,ISO-8859-6
iso_8859-6,ISO-8859-6
iso_8859-7,1987,ISO-8859-7
iso_8859-7,ISO-8859-7
iso_8859-8,1988,ISO-8859-8
iso_8859-8,ISO-8859-8
iso_8859-9,1989,windows-1254
iso_8859-9,windows-1254
koi,KOI8-R
koi8,KOI8-R
koi8-r,KOI8-R
koi8-ru,KOI8-U
koi8-u,KOI8-U
koi8_r,KOI8-R
korean,EUC-KR
ks_c_5601-1987,EUC-KR
ks_c_5601-1989,EUC-KR
ksc5601,EUC-KR
ksc_5601,EUC-KR
l1,windows-1252
l2,ISO-8859-2
l3,ISO-8859-3
l4,ISO-8859-4
l5,windows-1254
l6,ISO-8859-10
l9,ISO-8859-15
latin1,windows-1252
