datatype  JSON primitive type
anyAtomicType  string
anyURI  string
base64Binary  string
boolean  boolean
date  string
dateTime  string
dateTimeStamp  string
decimal  number
integer  number
long  number
int  number
short  number
byte  number
nonNegativeInteger  number
positiveInteger  number
unsignedLong  number
unsignedInt  number
unsignedShort  number
unsignedByte  number
nonPositiveInteger  number
negativeInteger  number
double  number
duration  string
dayTimeDuration  string
yearMonthDuration  string
float  number
gDay  string
gMonth  string
gMonthDay  string
gYear  string
gYearMonth  string
hexBinary  string
QName  string
string  string
normalizedString  string
token  string
language  string
Name  string
NMTOKEN  string
xml  string
html  string
json  string
time  string
