#count,TLD
374670873,net
199029228,com
75612578,jp
28059515,it
28026059,br
21415524,de
20552228,cn
17450093,fr
17363363,au
17296801,ru
16910153,mx
14416783,pl
14409280,nl
13702339,edu
11915681,ar
9157824,ca
8937159,uk
7452888,se
7243480,tr
6878625,in
6600153,tw
6434643,invalid
5399695,ch
5338021,za
5321445,fi
5293063,be
5183071,adsl
4766847,dk
4640544,es
4562506,co
4473176,arpa
4425125,cz
4373386,no
4325916,mil
4041621,pt
3899715,gr
3558141,at
3446935,hu
3406341,th
3320920,gov
3188590,ro
2987326,nz
2707782,ua
2627983,il
2454145,org
2306139,us
2265768,cl
1902920,sg
1707478,id
1678060,vn
1450886,ie
1400226,sk
1398794,hr
1327852,lt
1133387,ve
1098663,bg
1078569,rs
1026402,uy
878777,ee
870252,hk
745532,md
708100,info
538731,pk
509363,ph
490484,si
467364,my
442680,lv
428303,do
399168,gt
392509,ae
389885,is
353258,ge
334624,su
333945,by
325656,kr
304632,ni
287135,sa
281494,py
278592,ec
275206,lu
273940,ma
266583,eu
265814,cy
265625,network
235632,tt
233648,dhcp
229826,pe
216104,am
210741,ir
209281,eg
188117,ba
187807,jo
185417,biz
177989,bo
164675,cr
159157,tv
135556,an
132656,configured
130547,io
116937,kg
110991,local
98419,np
93797,lb
91343,ke
91046,mz
82118,nu
81173,bd
79275,lk
77178,mk
74776,cnc
74682,na
73379,kz
73224,uz
72689,tc
64151,customer
64021,128
63890,ppp
63164,pix
60492,spoofed
58388,gh
55590,az
54734,cc
54166,bh
52194,bn
50271,mu
49404,ps
48079,iplocal
42234,fsu
40971,forged
39936,int
39364,aw
38325,mg
37542,pf
35764,unallocated
35406,hn
35023,210-twnap
33788,zw
33200,nc
31994,ye
31941,dsnet
31917,ao
31752,ug
30699,61-savecom
30691,re
29577,gy
27823,tld
27762,ad
26950,bm
26364,tz
25725,mc
24276,sv
22935,ky
22519,coop
22271,al
21592,fj
19940,bs
19439,ci
19375,ws
18210,ls
17332,ly
16834,zm
16599,lcl
15953,li
15688,static
15439,om
15313,gl
14992,mt
14979,kh
14577,me
14387,bt
14287,cat
13851,mobi
13662,ag
13605,211-savecom
13520,cu
13428,available
12486,sm
12286,pa
10473,65
9798,cm
9376,tj
9272,la
9197,vi
9004,pcextreme
7954,mn
7840,nr
7651,as18190
7609,aq
7600,as18389
7511,fo
7379,free
7278,to
6087,ac
5780,pg
5754,host
5435,isnigeria
5360,name
5309,ms
5277,vu
5058,dz
4899,fm
4840,travel
4771,bz
4539,cx
4404,ax
4365,pro
4325,ptr
4295,ht
4244,sb
4202,reverse
4189,yu
3940,sft
3867,asia
3805,63
3800,jm
3791,tk
3730,hanastarnet
3569,db
3555,gi
3499,ck
3443,inaddr-arpa
3429,in-arpa
3404,ultel-dot-net
3358,a
3196,aero
3180,sz
3135,mv
2936,ips
2835,gbl
2833,208
2802,kw
2725,cd
2598,wf
2550,as
2525,ip
2451,ida
2238,ads
2208,lan
2200,1
2177,210-gamania
2128,st
2125,rw
2092,bw
2088,in-addr-arpa
2007,holder
1959,none
1770,reserved
1764,bf
1752,80
1718,lnoca
1627,ng
