Stage;TLD;Flags;Registry;"Registry Group";Backend;Start;End;Description
SR;xn--ngbc5azd;;"International Domain Registry Pty. Ltd.";;"ARI Registry Services";2013-10-31T00:00:00Z;2013-12-29T00:00:00Z;
SR;bike;;"Grand Hollow, LLC";"Donuts Inc.";"Rightside Registry";2013-11-26T16:00:00Z;2014-01-25T15:59:59Z;
SR;clothing;;"Steel Lake, LLC";"Donuts Inc.";"Rightside Registry";2013-11-26T16:00:00Z;2014-01-25T15:59:59Z;
SR;guru;;"Pioneer Cypress, LLC";"Donuts Inc.";"Rightside Registry";2013-11-26T16:00:00Z;2014-01-25T15:59:59Z;
SR;holdings;;"John Madison, LLC";"Donuts Inc.";"Rightside Registry";2013-11-26T16:00:00Z;2014-01-25T15:59:59Z;
SR;plumbing;;"Spring Tigers, LLC";"Donuts Inc.";"Rightside Registry";2013-11-26T16:00:00Z;2014-01-25T00:00:00Z;
SR;singles;;"Fern Madison, LLC";"Donuts Inc.";"Rightside Registry";2013-11-26T16:00:00Z;2014-01-25T00:00:00Z;
SR;ventures;;"Binky Lake, LLC";"Donuts Inc.";"Rightside Registry";2013-11-26T16:00:00Z;2014-01-25T15:59:59Z;
SR;camera;;"Atomic Maple, LLC";"Donuts Inc.";"Rightside Registry";2013-12-03T16:00:00Z;2014-02-01T15:59:59Z;
SR;equipment;;"Corn Station, LLC";"Donuts Inc.";"Rightside Registry";2013-12-03T16:00:00Z;2014-02-01T15:59:59Z;
SR;estate;;"Trixy Park, LLC";"Donuts Inc.";"Rightside Registry";2013-12-03T16:00:00Z;2014-02-01T15:59:59Z;
SR;gallery;;"Sugar House, LLC";"Donuts Inc.";"Rightside Registry";2013-12-03T16:00:00Z;2014-02-01T15:59:59Z;
SR;graphics;;"Over Madison, LLC";"Donuts Inc.";"Rightside Registry";2013-12-03T16:00:00Z;2014-02-01T15:59:59Z;
SR;lighting;;"John McCook, LLC";"Donuts Inc.";"Rightside Registry";2013-12-03T16:00:00Z;2014-02-01T15:59:59Z;
SR;photography;;"Sugar Glen, LLC";"Donuts Inc.";"Rightside Registry";2013-12-03T16:00:00Z;2014-02-01T15:59:59Z;
SR;menu;;"Wedding TLD2, LLC";;"ARI Registry Services";2013-12-09T00:00:00Z;2014-02-07T00:00:00Z;
