File Extension,Tool,Category,Sub-Category,Type,Useful Switches,Tool Description,Linkage,Require Install?
elf,Pyelftools,Malware,File Analysis,CLI,,Library for analyzing ELF files and DWARF debugging information,http://pypi.python.org/pypi/pyelftools/,
"7z, gz, zip, rar, dmg",7zip,File Analysis,Archive,Both,,A file archiver with a high compression ratio.,http://www.7-zip.org/,
"jar, ear, war",7zip,File Analysis,Java,Both,,A file archiver with a high compression ratio.,http://www.7-zip.org/,
exe,7zip,File Analysis,PE Analysis,Botth,"7z x <filename> -osections
7z l <filename>",A file archiver with a high compression ratio.,http://www.7-zip.org/,
swf,Adobe SWF Investigator,File Analysis,Flash,GUI,,GUI based tool that lets you both statically and dynamically analyze SWF files.,http://labs.adobe.com/downloads/swfinvestigator.html,
,aeskeyfind,,Obfuscation/Encryption,,,Find obfuscated or encrypted data,,
aff,AFFuse,Forensics,Disk Analysis,,,A FUSE-based program that gives you access to Advanced Forensic Format containers.,http://www.afflib.org,
-,AlternateStreamView,Forensics,Alternate Data Streams,CLI,,"AlternateStreamView is a small utility that allows you to scan your NTFS drive, and find all hidden alternate streams stored in the file system.",http://www.nirsoft.net/utils/alternate_data_streams.html,
,analyzeMFT.pl,Forensics,Filesystem Analysis,,,,,
,Anubis,Online Help,File Analysis,,,,http://anubis.iseclab.org/,
-,APImonitor,Malware,Filesystem Monitoring,GUI,,Monitors and controls API calls made by applications and services.,http://www.rohitab.com/apimonitor,Yes
-,Autoruns,System,Filesystem Analysis,Both,,,http://technet.microsoft.com/en-us/sysinternals/bb963902.aspx,
,AVG ZeroAccess Remover,Malware,Rootkit Analysis,,,Win32/ZeroAccess remover,http://free.avg.com/us-en/remove-win32zeroaccess,
,BDS,Malware,File Analysis,,,The Binary Diffing Starter (part of eEye Binary Diffing Suite (EBDS)) a free and open source set of utilities for performing automated binary differential analysis.,http://www.eeye.com/resources/security-center/research/tools/eeye-binary-diffing-suite-ebds,
-,BEViewer,Forensics,File Carving,GUI,, User Interface for browsing features that have been extracted via the bulk_extractor feature extraction tool.,https://github.com/simsong/bulk_extractor,
,BinText,File Analysis,,GUI,,,,
-,binwalk,File Analysis,Firmware Analysis,-,,"Binwalk is a tool for searching a given binary image for embedded files and executable code. Specifically, it is designed for identifying files and code embedded inside of firmware images.",http://code.google.com/p/binwalk/,
,blkcat,Forensics,,CLI,-,Streams the content of a given data unit to STDOUT.,,
,blkls,Forensics,Disk Analysis,CLI,-,Lists details about data units & can extract all unallocated space of the file system.,,
-,blkls,Forensics,Filesystem Analysis,CLI,,Lists deleted (unallocated) disk blocks,,
,blkstat,Forensics,Disk Analysis,CLI,-,Displays information about a specific data unit. (allocation status & block group if Ext file system),,
-,bodyfile,Forensics,Timeline Creating,CLI,,Converts the bodyfile to TLN.,http://www.sleuthkit.org/sleuthkit/download.php,
-,Bokken,Forensics,File Analysis,GUI,,Bokken is a GUI for the Pyew and Radare projects ,http://inguma.eu/projects/bokken,
-,Bokken,Forensics,Website Inspection,GUI,,GUI for Pyew;The Callgraph tab will show a visual representation of all the elements found in the HTML of the website and all those links with parameters will be shown parsed and grouped,http://inguma.eu/projects/bokken/wiki/Webs,
-,BrowserSpider,Malware,Website Inspection,CLI,,BrowserSpider is a piece of code that makes a standard instance of Firefox or Chome click all the links on the websites you specify,http://blog.michaelboman.org/2012/06/mart-malware-analyst-research-toolkit_29.html,
"pdf,exe,dll,sys,pf,zip,elf",bulk_extractor,Forensics,File Carving,CLI,bulk_extractor -f,"Tool that scans a disk image, a file, or a directory of files and extracts useful information without parsing the file system or file system structures.",https://github.com/simsong/bulk_extractor,
-,BurpSuite,Network,,GUI,,Control web traffic,http://portswigger.net/burp/proxy.html,
-,bytehist,File Analysis,PE Analysis,,,Check whether the file might be packed,http://www.cert.at/downloads/software/bytehist_en.html,
-,CacheBack,Forensics,Internet Explorer,GUI,,Net analysis tool for Internet evidence.,http://www.cacheback.ca/download.asp,
pcap,CapLoader,Network,PCAP Analysis,GUI,,A Windows tool designed to handle large amounts of captured network traffic in the tcpdump/libpcap format (PCAP). *30 day trial*,http://www.netresec.com/?page=CapLoader,
-,CaptureBAT,System,Filesystem Monitoring,CLI,,,https://www.honeynet.org/node/315,Yes
db,carver,Forensics,,,,A tool for extracting Thumbnails stored in Windows Explorer thumbcache_NN.db files,http://code.google.com/p/pydetective/,
,catchme.exe,Malware,Rootkit Analysis,,,,,
-,cda_tool.py,Forensics,Filesystem Analysis,CLI,,Tool by Simson Garfinkel to perform cross-drive analysis (takes output of bulk_extractor),https://github.com/simsong/bulk_extractor,
cert,certutil,File Analysis,Certificates,CLI,,"A command-line program that is installed as part of Certificate Services. You can use Certutil.exe to dump and display certification authority (CA) configuration information, configure Certificate Services, back up and restore CA components, and verify certificates, key pairs, and certificate chains.",http://technet.microsoft.com/en-us/library/cc732443%28v=ws.10%29.aspx,
-,Charles proxy,Network,Website Tampering,GUI,,A HTTP proxy / HTTP monitor / Reverse Proxy that enables a developer to view all of the HTTP and SSL / HTTPS traffic between their machine and the Internet.,http://www.charlesproxy.com/download/,
,ChromeCacheView,Internet Browser,Google Chrome,,,Extracts the details of all cache files stored by Google Chrome Web browser. ,http://www.nirsoft.net/utils/chrome_cache_view.html,
-,clamscan,,Anti-Virus,,sudo freshclam = refresh after updating signatures,Scan files for malware signatures,http://www.clamav.net/,
-,Comodo Instant Malware Analysis,Online Help,File Analysis,-,,Automated Analysis System,http://camas.comodo.com/,
,Compare Vmware snapshots,Forensics,,GUI,,"A string compare tool with search options for interesting (hidden) files like exe, sys and dll.",https://zairon.wordpress.com/2007/09/19/tool-compare-vmware-snapshots/,
pdf,comparepdf,File Analysis,PDF,CLI,,A command line tool for comparing two PDF file.,http://www.qtrac.eu/comparepdf.html,
-,Conficker Detection Tool,Malware,Conficker,-,,Conficker detection tool,http://www.mcafee.com/us/downloads/free-tools/conficker-detection.aspx,
dat,crashdump.pl,Forensics,Registry Analysis,CLI,,RegRipper plugin tha parses system crash dump configuration from System Hive,http://www.cutawaysecurity.com/blog/scripts-and-tools,
,CreateYaraSignature.py,Malware,File Identification,CLI,,Python script for IDA to create YARA byte code signatures,http://blog.accuvantlabs.com/sites/default/files/Tools/CreateYaraSignature.py_0.txt,
"doc, pdf",Cryptam,Malware,File Analysis,CLI,,"Detect malware in Office documents, extract encrypted embedded executables from PDF and office documents",http://www.malwaretracker.com/tools.php,
-,curl,Network,,CLI,,Retrieve websites,http://isc.sans.edu/diary.html?storyid=8038,
-,CWSandbox,Online Help,File Analysis,-,,"Free dynamic, behaviour-based malware analysis using the CWSandbox",http://www.mwanalysis.org/,
js,d8,,,,,Deobfuscate JavaScript,http://code.google.com/p/v8/,
,DarunGrim,Malware,File Analysis,,, (part of eEye Binary Diffing Suite (EBDS)) a free and open source set of utilities for performing automated binary differential analysis.,,
-,dc3dd,Forensics,Disk Imaging,CLI,"sudo dc3dd if=/dev/sdX hash=sha256 verb=on log=/media/
log.txt hof=/media/output.dd",Enhanced version of dd that can generate hashes and logs of the image process.,,
-,dc3dd,Forensics,Disk Wiping,CLI,dc3dd wipe=/dev/sdX verb=one,Enhanced version of dd that can generate hashes and logs of the image process.,,
-,dcfldd,Forensics,Disk Imaging,CLI,"hashwindow=512M hash=md5,sha1 hashlog=forensics.haslog",Enhanced version of dd that can generate hashes and logs of the image process.,,
-,dd,Forensics,Disk Imaging,CLI,,,,
,dd,Forensics,Disk Wiping,CLI,dd if=/dev/zero of=<dev> bs=4096,*nix program for wiping files/disks,,
-,ddrescue,Forensics,Disk Imaging,CLI,,"Copies data from one file or block device (hard disk, CD-ROM, etc.) to another, trying hard to rescue data in case of read errors. GNU ddrescuelog is a tool that manipulates ddrescue logfiles, shows logfile contents, converts logfiles to/from other formats, compares logfiles, tests rescue status, and can delete a logfile if the rescue is done.",http://freecode.com/projects/addrescue,
$I*,del2info,Forensics,Windows Special Files,,,A tool for analyzing Windows Recycle Bin INFO2 and $I?????? files,http://code.google.com/p/pydetective/,
INFO2,del2info,,,,,A tool for analyzing Windows Recycle Bin INFO2 and $I?????? files,http://code.google.com/p/pydetective/,
exe,densityscout,Malware,Filesystem Analysis,,densityscout -pe -p 0.1 -o results.txt c:\Windows\System32,This tool calculates density (like entropy) for files of a any file-system-path to finally output an accordingly descending ordered list. This makes it possible to quickly find (even unknown) malware on a potentially infected Microsoft Windows driven machine.,http://www.cert.at/downloads/software/densityscout_en.html,
"exe, dll, ocx, sys",Dependency Walker,Malware,PE Analysis,,,"A free utility that scans any 32-bit or 64-bit Windows module (exe, dll, ocx, sys, etc.) and builds a hierarchical tree diagram of all dependent modules.",http://www.dependencywalker.com/,
-,Device Tree,Forensics,Filesystem Analysis,,,"This utility has two views: (a) one view that will show you the entire PnP enumeration tree of device objects, including relationships among objects and all the device's reported PnP characteristics, and (b) a second view that shows you the device objects created, sorted by driver name.",http://www.osronline.com/article.cfm?article=97,
"bup, VBN, QBD",DeXRAY,File Analysis,Quarantine Files,CLI,-,"DeXRAY is a simple perl script that tries to discover encrypted executables and DLLs (or, more generically – Portable Executables a.k.a. PE) within a given data file e.g. it could be an encrypted PE that is embedded inside a malicious dropper (including non-PE files e.g. PDFs) or network traffic.",http://hexacorn.com/download.php?f=DeXRAY.pl,
pdf,diffpdf,File Analysis,PDF,GUI,,"Tool to compare two PDF files by modes: Words, Characters, and Appearance. ",http://www.qtrac.eu/diffpdf.html,
,Disitool,File Analysis,Certificates,CLI,disitool.py extract signed-file signature,A small Python program to manipulate embedded digital signatures.,http://blog.didierstevens.com/programs/disitool/,
-,Disk Arbitrator,Forensics,Mac Forensics,,,A Mac OS X forensic utility which manages file system mounting in support of forensic procedures.,https://github.com/aburgh/Disk-Arbitrator,
,disk_sreset,Forensics,Disk Analysis,CLI,-,Will allow you to temporarily remove a HPA from a disk. (this is nonpersistent),,
,disk_stat,Forensics,Disk Information,CLI,-,Will show if the disk has a HPA.,,
-,DiskView,Forensics,Filesystem Analysis,,,"The DiskView utility is a utility written by OSR, that allows ther user to view the MountPoints, Physical Disks, and Storage Adapters that make up the storage subsystem on the target machine. ",http://www.osronline.com/article.cfm?article=198,
,DisView,File Analysis,Microsoft Office,,,Disassembles bytes at a given offset of an MS Office file. Part of OfficeMalScanner.,http://www.reconstructer.org/code.html,
jar,DJ Java Decompiler,File Analysis,Java,,,Tool that allows you to decompile java CLASS files and save it in text or other format. ,http://members.fortunecity.com/neshkov/dj.html,
dmg,DMG Assist,Forensics,Mac Forensics,,,Mounts disk images that won’t mount with the traditional double-click method.,https://www.blackbagtech.com/resources/freetools.html,
