+-------+------+-------------------+------+------+------------------+
| cmd   | FEAT | description       | type | conf | RFC#s/References |
|       | Code |                   |      |      | and Notes        |
+-------+------+-------------------+------+------+------------------+
| ABOR  | base | Abort             | s    | m    | 959              |
| ACCT  | base | Account           | a    | m    | 959              |
| ADAT  | secu | Authentication/   | a    | o    | 2228, 2773, 4217 |
|       |      | Security Data     |      |      |                  |
| ALLO  | base | Allocate          | s    | m    | 959              |
| APPE  | base | Append (with      | s    | m    | 959              |
|       |      | create)           |      |      |                  |
| AUTH  | secu | Authentication/   | a    | o    | 2228             |
|       |      | Security          |      |      |                  |
|       |      | Mechanism         |      |      |                  |
| AUTH+ | AUTH | Authentication/   | a    | o    | 2773, 4217 #2    |
|       |      | Security          |      |      |                  |
|       |      | Mechanism         |      |      |                  |
| CCC   | secu | Clear Command     | a    | o    | 2228             |
|       |      | Channel           |      |      |                  |
| CDUP  | base | Change to Parent  | a    | o    | 959              |
|       |      | Directory         |      |      |                  |
| CONF  | secu | Confidentiality   | a    | o    | 2228             |
|       |      | Protected Command |      |      |                  |
| CWD   | base | Change Working    | a    | m    | 959              |
|       |      | Directory         |      |      |                  |
| DELE  | base | Delete File       | s    | m    | 959              |
| ENC   | secu | Privacy Protected | a    | o    | 2228, 2773, 4217 |
|       |      | Command           |      |      |                  |
| EPRT  | nat6 | Extended Port     | p    | o    | 2428             |
| EPSV  | nat6 | Extended Passive  | p    | o    | 2428             |
|       |      | Mode              |      |      |                  |
| FEAT  | feat | Feature           | a    | m #1 | 2389             |
|       |      | Negotiation       |      |      |                  |
| HELP  | base | Help              | s    | m    | 959              |
| LANG  | UTF8 | Language (for     | p    | o    | 2640             |
|       |      | Server Messages)  |      |      |                  |
| LIST  | base | List              | s    | m    | 959, 1123        |
| LPRT  | hist | Data Port         | p    | h    | 1545, 1639       |
|       |      | {FOOBAR}          |      |      |                  |
| LPSV  | hist | Passive Mode      | p    | h    | 1545, 1639       |
|       |      | {FOOBAR}          |      |      |                  |
| MDTM  | MDTM | File Modification | s    | o    | 3659             |
|       |      | Time              |      |      |                  |
| MIC   | secu | Integrity         | a    | o    | 2228, 2773, 4217 |
|       |      | Protected Command |      |      |                  |
| MKD   | base | Make Directory    | s    | o    | 959              |
| MLSD  | MLST | List Directory    | s    | o    | 3659             |
|       |      | (for machine)     |      |      |                  |
| MLST  | MLST | List Single       | s    | o    | 3659             |
|       |      | Object            |      |      |                  |
| MODE  | base | Transfer Mode     | p    | m    | 959              |
| NLST  | base | Name List         | s    | m    | 959, 1123        |
| NOOP  | base | No-Op             | s    | m    | 959              |
| OPTS  | feat | Options           | p    | m #1 | 2389             |
| PASS  | base | Password          | a    | m    | 959              |
| PASV  | base | Passive Mode      | p    | m    | 959, 1123        |
| PBSZ  | secu | Protection Buffer | p    | o    | 2228             |
|       |      | Size              |      |      |                  |
| PBSZ+ | PBSZ | Protection Buffer | p    | o    | 4217             |
|       |      | Size              |      |      |                  |
| PORT  | base | Data Port         | p    | m    | 959              |
| PROT  | secu | Data Channel      | p    | o    | 2228             |
|       |      | Protection Level  |      |      |                  |
| PROT+ | PROT | Data Channel      | p    | o    | 4217             |
|       |      | Protection Level  |      |      |                  |
| PWD   | base | Print Directory   | s    | o    | 959              |
| QUIT  | base | Logout            | a    | m    | 959              |
| REIN  | base | Reinitialize      | a    | m    | 959              |
| REST  | base | Restart           | s/p  | m    | 959, 1123        |
| REST+ | REST | Restart (for      | s/p  | m    | 3659 #3          |
|       |      | STREAM mode)      |      |      |                  |
| RETR  | base | Retrieve          | s    | m    | 959              |
| RMD   | base | Remove Directory  | s    | o    | 959              |
| RNFR  | base | Rename From       | s/p  | m    | 959              |
| RNTO  | base | Rename From       | s    | m    | 959              |
| SITE  | base | Site Parameters   | s    | m    | 959, 1123        |
| SIZE  | SIZE | File Size         | s    | o    | 3659             |
| SMNT  | base | Structure Mount   | a    | o    | 959              |
| STAT  | base | Status            | s    | m    | 959              |
| STOR  | base | Store             | s    | m    | 959              |
| STOU  | base | Store Unique      | a    | o    | 959, 1123        |
| STRU  | base | File Structure    | p    | m    | 959              |
| SYST  | base | System            | s    | o    | 959              |
| TYPE  | base | Representation    | p    | m    | 959 #4           |
|       |      | Type              |      |      |                  |
| USER  | base | User Name         | a    | m    | 959              |
| XCUP  | hist | {precursor for    | s    | h    | 775, 1123        |
|       |      | CDUP}             |      |      |                  |
| XCWD  | hist | {precursor for    | s    | h    | 775, 1123        |
|       |      | CWD}              |      |      |                  |
| XMKD  | hist | {precursor for    | s    | h    | 775, 1123        |
|       |      | MKD}              |      |      |                  |
| XPWD  | hist | {precursor for    | s    | h    | 775, 1123        |
|       |      | PWD}              |      |      |                  |
| XRMD  | hist | {precursor for    | s    | h    | 775, 1123        |
|       |      | RMD}              |      |      |                  |
| -N/A- | TVFS | Trivial Virtual   | p    | o    | 3659             |
|       |      | File Store        |      |      |                  |
+-------+------+-------------------+------+------+------------------+
