## All HTML Attributes
# Attribute	Belongs to	Description
accept	<input>	Specifies the types of files that the server accepts (only for type="file")
accept-charset	<form>	Specifies the character encodings that are to be used for the form submission
accesskey	Global Attributes	Specifies a shortcut key to activate/focus an element
action	<form>	Specifies where to send the form-data when a form is submitted
align	Not supported in HTML 5.	Specifies the alignment according to surrounding elements. Use CSS instead
alt	<area>, <img>, <input>	Specifies an alternate text when the original element fails to display
async	<script>	Specifies that the script is executed asynchronously (only for external scripts)
autocomplete	<form>, <input>	Specifies whether the <form> or the <input> element should have autocomplete enabled
autofocus	<button>, <input>, <select>, <textarea>	Specifies that the element should automatically get focus when the page loads
autoplay	<audio>, <video>	Specifies that the audio/video will start playing as soon as it is ready
bgcolor	Not supported in HTML 5.	Specifies the background color of an element. Use CSS instead
border	Not supported in HTML 5.	Specifies the width of the border of an element. Use CSS instead
charset	<meta>, <script>	Specifies the character encoding
checked	<input>	Specifies that an <input> element should be pre-selected when the page loads (for type="checkbox" or type="radio")
cite	<blockquote>, <del>, <ins>, <q>	Specifies a URL which explains the quote/deleted/inserted text
class	Global Attributes	Specifies one or more classnames for an element (refers to a class in a style sheet)
color	Not supported in HTML 5.	Specifies the text color of an element. Use CSS instead
cols	<textarea>	Specifies the visible width of a text area
colspan	<td>, <th>	Specifies the number of columns a table cell should span
content	<meta>	Gives the value associated with the http-equiv or name attribute
contenteditable	Global Attributes	Specifies whether the content of an element is editable or not
contextmenu	Global Attributes	Specifies a context menu for an element. The context menu appears when a user right-clicks on the element
controls	<audio>, <video>	Specifies that audio/video controls should be displayed (such as a play/pause button etc)
coords	<area>	Specifies the coordinates of the area
data	<object>	Specifies the URL of the resource to be used by the object
data-*	Global Attributes	Used to store custom data private to the page or application
datetime	<del>, <ins>, <time>	Specifies the date and time
default	<track>	Specifies that the track is to be enabled if the user's preferences do not indicate that another track would be more appropriate
defer	<script>	Specifies that the script is executed when the page has finished parsing (only for external scripts)
dir	Global Attributes	Specifies the text direction for the content in an element
dirname	<input>, <textarea>	Specifies that the text direction will be submitted
disabled	<button>, <fieldset>, <input>, <optgroup>, <option>, <select>, <textarea>	Specifies that the specified element/group of elements should be disabled
download	<a>, <area>	Specifies that the target will be downloaded when a user clicks on the hyperlink
draggable	Global Attributes	Specifies whether an element is draggable or not
dropzone	Global Attributes	Specifies whether the dragged data is copied, moved, or linked, when dropped
enctype	<form>	Specifies how the form-data should be encoded when submitting it to the server (only for method="post")
for	<label>, <output>	Specifies which form element(s) a label/calculation is bound to
form	<button>, <fieldset>, <input>, <label>, <meter>, <object>, <output>, <select>, <textarea>	Specifies the name of the form the element belongs to
formaction	<button>, <input>	Specifies where to send the form-data when a form is submitted. Only for type="submit"
headers	<td>, <th>	Specifies one or more headers cells a cell is related to
height	<canvas>, <embed>, <iframe>, <img>, <input>, <object>, <video>	Specifies the height of the element
hidden	Global Attributes	Specifies that an element is not yet, or is no longer, relevant
high	<meter>	Specifies the range that is considered to be a high value
href	<a>, <area>, <base>, <link>	Specifies the URL of the page the link goes to
hreflang	<a>, <area>, <link>	Specifies the language of the linked document
http-equiv	<meta>	Provides an HTTP header for the information/value of the content attribute
id	Global Attributes	Specifies a unique id for an element
ismap	<img>	Specifies an image as a server-side image-map
kind	<track>	Specifies the kind of text track
label	<track>, <option>, <optgroup>	Specifies the title of the text track
lang	Global Attributes	Specifies the language of the element's content
list	<input>	Refers to a <datalist> element that contains pre-defined options for an <input> element
loop	<audio>, <video>	Specifies that the audio/video will start over again, every time it is finished
low	<meter>	Specifies the range that is considered to be a low value
max	<input>, <meter>, <progress>	Specifies the maximum value
maxlength	<input>, <textarea>	Specifies the maximum number of characters allowed in an element
media	<a>, <area>, <link>, <source>, <style>	Specifies what media/device the linked document is optimized for
method	<form>	Specifies the HTTP method to use when sending form-data
min	<input>, <meter>	Specifies a minimum value
multiple	<input>, <select>	Specifies that a user can enter more than one value
muted	<video>, <audio>	Specifies that the audio output of the video should be muted
name	<button>, <fieldset>, <form>, <iframe>, <input>, <map>, <meta>, <object>, <output>, <param>, <select>, <textarea>	Specifies the name of the element
novalidate	<form>	Specifies that the form should not be validated when submitted
onabort	<audio>, <embed>, <img>, <object>, <video>	Script to be run on abort
onafterprint	<body>	Script to be run after the document is printed
onbeforeprint	<body>	Script to be run before the document is printed
onbeforeunload	<body>	Script to be run when the document is about to be unloaded
onblur	All visible elements.	Script to be run when the element loses focus
oncanplay	<audio>, <embed>, <object>, <video>	Script to be run when a file is ready to start playing (when it has buffered enough to begin)
oncanplaythrough	<audio>, <video>	Script to be run when a file can be played all the way to the end without pausing for buffering
onchange	All visible elements.	Script to be run when the value of the element is changed
onclick	All visible elements.	Script to be run when the element is being clicked
oncontextmenu	All visible elements.	Script to be run when a context menu is triggered
oncopy	All visible elements.	Script to be run when the content of the element is being copied
oncuechange	<track>	Script to be run when the cue changes in a <track> element
oncut	All visible elements.	Script to be run when the content of the element is being cut
ondblclick	All visible elements.	Script to be run when the element is being double-clicked
ondrag	All visible elements.	Script to be run when the element is being dragged
ondragend	All visible elements.	Script to be run at the end of a drag operation
ondragenter	All visible elements.	Script to be run when an element has been dragged to a valid drop target
ondragleave	All visible elements.	Script to be run when an element leaves a valid drop target
ondragover	All visible elements.	Script to be run when an element is being dragged over a valid drop target
ondragstart	All visible elements.	Script to be run at the start of a drag operation
ondrop	All visible elements.	Script to be run when dragged element is being dropped
ondurationchange	<audio>, <video>	Script to be run when the length of the media changes
onemptied	<audio>, <video>	Script to be run when something bad happens and the file is suddenly unavailable (like unexpectedly disconnects)
onended	<audio>, <video>	Script to be run when the media has reach the end (a useful event for messages like "thanks for listening")
onerror	<audio>, <body>, <embed>, <img>, <object>, <script>, <style>, <video>	Script to be run when an error occurs
onfocus	All visible elements.	Script to be run when the element gets focus
onhashchange	<body>	Script to be run when there has been changes to the anchor part of the a URL
oninput	All visible elements.	Script to be run when the element gets user input
oninvalid	All visible elements.	Script to be run when the element is invalid
