/8 Address blocks allocated to the RIRs
---------------------------------------

Address Block     RIR
      1/8        APNIC
      2/8     RIPE NCC
      3/8         ARIN
      4/8         ARIN
      5/8     RIPE NCC
      6/8         ARIN
      7/8         ARIN
      8/8         ARIN
      9/8         ARIN
     11/8         ARIN
     12/8         ARIN
     13/8         ARIN
     14/8        APNIC
     15/8         ARIN
     16/8         ARIN
     17/8         ARIN
     18/8         ARIN
     19/8         ARIN
     20/8         ARIN
     21/8         ARIN
     22/8         ARIN
     23/8         ARIN
     24/8         ARIN
     25/8     RIPE NCC
     26/8         ARIN
     27/8        APNIC
     28/8         ARIN
     29/8         ARIN
     30/8         ARIN
     31/8     RIPE NCC
     32/8         ARIN
     33/8         ARIN
     34/8         ARIN
     35/8         ARIN
     36/8        APNIC
     37/8     RIPE NCC
     38/8         ARIN
     39/8        APNIC
     40/8         ARIN
     41/8      AFRINIC
     42/8        APNIC
     43/8        APNIC
     44/8         ARIN
     45/8         ARIN
     46/8     RIPE NCC
     47/8         ARIN
     48/8         ARIN
     49/8        APNIC
     50/8         ARIN
     51/8     RIPE NCC
     52/8         ARIN
     53/8         ARIN
     54/8         ARIN
     55/8         ARIN
     56/8         ARIN
     57/8         ARIN
     58/8        APNIC
     59/8        APNIC
     60/8        APNIC
     61/8        APNIC
     62/8     RIPE NCC
     63/8         ARIN
     64/8         ARIN
     65/8         ARIN
     66/8         ARIN
     67/8         ARIN
     68/8         ARIN
     69/8         ARIN
     70/8         ARIN
     71/8         ARIN
     72/8         ARIN
     73/8         ARIN
     74/8         ARIN
     75/8         ARIN
     76/8         ARIN
     77/8     RIPE NCC
     78/8     RIPE NCC
     79/8     RIPE NCC
     80/8     RIPE NCC
     81/8     RIPE NCC
     82/8     RIPE NCC
     83/8     RIPE NCC
     84/8     RIPE NCC
     85/8     RIPE NCC
     86/8     RIPE NCC
     87/8     RIPE NCC
     88/8     RIPE NCC
     89/8     RIPE NCC
     90/8     RIPE NCC
     91/8     RIPE NCC
     92/8     RIPE NCC
     93/8     RIPE NCC
     94/8     RIPE NCC
     95/8     RIPE NCC
     96/8         ARIN
     97/8         ARIN
     98/8         ARIN
     99/8         ARIN
    100/8         ARIN
    101/8        APNIC
    102/8      AFRINIC
    103/8        APNIC
    104/8         ARIN
    105/8      AFRINIC
    106/8        APNIC
    107/8         ARIN
    108/8         ARIN
    109/8     RIPE NCC
    110/8        APNIC
    111/8        APNIC
    112/8        APNIC
    113/8        APNIC
    114/8        APNIC
    115/8        APNIC
    116/8        APNIC
    117/8        APNIC
    118/8        APNIC
    119/8        APNIC
    120/8        APNIC
    121/8        APNIC
    122/8        APNIC
    123/8        APNIC
    124/8        APNIC
    125/8        APNIC
    126/8        APNIC
    128/8         ARIN
    129/8         ARIN
    130/8         ARIN
    131/8         ARIN
    132/8         ARIN
    133/8        APNIC
    134/8         ARIN
    135/8         ARIN
    136/8         ARIN
    137/8         ARIN
    138/8         ARIN
    139/8         ARIN
    140/8         ARIN
    141/8     RIPE NCC
    142/8         ARIN
    143/8         ARIN
    144/8         ARIN
    145/8     RIPE NCC
    146/8         ARIN
    147/8         ARIN
    148/8         ARIN
    149/8         ARIN
    150/8        APNIC
    151/8     RIPE NCC
    152/8         ARIN
    153/8        APNIC
    154/8      AFRINIC
    155/8         ARIN
    156/8         ARIN
    157/8         ARIN
    158/8         ARIN
    159/8         ARIN
    160/8         ARIN
    161/8         ARIN
    162/8         ARIN
    163/8        APNIC
    164/8         ARIN
    165/8         ARIN
    166/8         ARIN
    167/8         ARIN
    168/8         ARIN
    169/8         ARIN
    170/8         ARIN
    171/8        APNIC
    172/8         ARIN
    173/8         ARIN
    174/8         ARIN
    175/8        APNIC
    176/8     RIPE NCC
    177/8       LACNIC
    178/8     RIPE NCC
    179/8       LACNIC
    180/8        APNIC
    181/8       LACNIC
    182/8        APNIC
    183/8        APNIC
    184/8         ARIN
    185/8     RIPE NCC
    186/8       LACNIC
    187/8       LACNIC
    188/8     RIPE NCC
    189/8       LACNIC
    190/8       LACNIC
    191/8       LACNIC
    192/8         ARIN
    193/8     RIPE NCC
    194/8     RIPE NCC
    195/8     RIPE NCC
    196/8      AFRINIC
    197/8      AFRINIC
    198/8         ARIN
    199/8         ARIN
    200/8       LACNIC
    201/8       LACNIC
    202/8        APNIC
    203/8        APNIC
    204/8         ARIN
    205/8         ARIN
    206/8         ARIN
    207/8         ARIN
    208/8         ARIN
    209/8         ARIN
    210/8        APNIC
    211/8        APNIC
    212/8     RIPE NCC
    213/8     RIPE NCC
    214/8         ARIN
    215/8         ARIN
    216/8         ARIN
    217/8     RIPE NCC
    218/8        APNIC
    219/8        APNIC
    220/8        APNIC
    221/8        APNIC
    222/8        APNIC
    223/8        APNIC
