#
# Suspect-Networks.io CSV dataset (comma separated values)
# Generated: 2018-03-12 04:30:01 UTC
#
# This file contains the CSV dataset of suspect-network
# It may be used for further processing, for example integration into Squid Proxy etc
#
# Source: https://suspect-networks.io/downloads/
#
# id,prefix,dateadded_utc,asnumber,country_code,reference
29,104.193.252.128/26,2016-10-06,14576,US,https://suspect-networks.io/networks/cidr/29/
84,104.36.83.0/24,2016-10-25,20150,US,https://suspect-networks.io/networks/cidr/84/
114,109.234.34.0/24,2016-11-03,35415,RU,https://suspect-networks.io/networks/cidr/114/
136,109.234.35.0/24,2017-01-23,35415,RU,https://suspect-networks.io/networks/cidr/136/
18,109.234.36.0/24,2016-10-06,35415,RU,https://suspect-networks.io/networks/cidr/18/
110,109.234.38.0/24,2016-11-01,35415,RU,https://suspect-networks.io/networks/cidr/110/
76,109.236.80.0/20,2016-10-24,49981,NL,https://suspect-networks.io/networks/cidr/76/
133,138.201.162.32/27,2017-01-20,24940,DE,https://suspect-networks.io/networks/cidr/133/
30,144.76.177.192/27,2016-10-06,24940,DE,https://suspect-networks.io/networks/cidr/30/
148,146.255.79.160/27,2017-09-15,34547,MK,https://suspect-networks.io/networks/cidr/148/
149,154.16.201.0/24,2017-09-15,200995,FR,https://suspect-networks.io/networks/cidr/149/
150,154.16.220.0/24,2017-09-15,56630,RU,https://suspect-networks.io/networks/cidr/150/
151,154.16.63.0/24,2017-09-15,50841,GB,https://suspect-networks.io/networks/cidr/151/
170,154.16.93.160/27,2018-02-27,37692,ZA,https://suspect-networks.io/networks/cidr/170/
22,162.244.32.128/25,2016-10-06,14576,US,https://suspect-networks.io/networks/cidr/22/
117,167.114.44.144/28,2016-11-20,16276,CA,https://suspect-networks.io/networks/cidr/117/
171,173.46.85.0/24,2018-02-27,31103,DE,https://suspect-networks.io/networks/cidr/171/
172,174.127.99.128/25,2018-02-27,36351,US,https://suspect-networks.io/networks/cidr/172/
152,176.10.124.192/26,2017-09-15,51395,CH,https://suspect-networks.io/networks/cidr/152/
70,176.103.56.0/24,2016-10-24,48031,UA,https://suspect-networks.io/networks/cidr/70/
94,176.107.176.0/24,2016-10-26,42331,UA,https://suspect-networks.io/networks/cidr/94/
50,176.123.26.0/24,2016-10-07,200019,MD,https://suspect-networks.io/networks/cidr/50/
86,176.223.111.0/24,2016-10-25,51852,CH,https://suspect-networks.io/networks/cidr/86/
113,176.31.200.64/27,2016-11-02,16276,FR,https://suspect-networks.io/networks/cidr/113/
139,178.33.69.64/27,2017-03-23,16276,FR,https://suspect-networks.io/networks/cidr/139/
120,179.43.144.0/26,2016-11-28,51852,CH,https://suspect-networks.io/networks/cidr/120/
59,179.60.149.0/24,2016-10-13,47478,RU,https://suspect-networks.io/networks/cidr/59/
153,181.215.247.0/24,2017-09-15,57944,UA,https://suspect-networks.io/networks/cidr/153/
173,184.75.209.160/27,2018-02-27,32489,CA,https://suspect-networks.io/networks/cidr/173/
154,185.101.34.64/26,2017-09-15,34989,NO,https://suspect-networks.io/networks/cidr/154/
81,185.117.72.0/24,2016-10-24,0,NL,https://suspect-networks.io/networks/cidr/81/
51,185.117.75.0/24,2016-10-07,60117,NL,https://suspect-networks.io/networks/cidr/51/
53,185.118.166.0/24,2016-10-07,44493,RU,https://suspect-networks.io/networks/cidr/53/
75,185.118.167.0/24,2016-10-24,44493,RU,https://suspect-networks.io/networks/cidr/75/
88,185.118.64.0/24,2016-10-25,59504,RU,https://suspect-networks.io/networks/cidr/88/
128,185.127.24.0/24,2016-12-08,206977,RU,https://suspect-networks.io/networks/cidr/128/
93,185.127.27.0/24,2016-10-26,206977,RU,https://suspect-networks.io/networks/cidr/93/
164,185.140.53.0/24,2017-10-22,24961,DE,https://suspect-networks.io/networks/cidr/164/
95,185.141.25.0/24,2016-10-26,60117,RO,https://suspect-networks.io/networks/cidr/95/
69,185.141.27.0/24,2016-10-24,60117,NL,https://suspect-networks.io/networks/cidr/69/
167,185.145.44.0/24,2017-12-12,50113,RU,https://suspect-networks.io/networks/cidr/167/
155,185.145.45.0/24,2017-09-15,49981,NL,https://suspect-networks.io/networks/cidr/155/
119,185.153.196.0/22,2016-11-28,49877,RU,https://suspect-networks.io/networks/cidr/119/
45,185.154.13.0/24,2016-10-07,21100,UA,https://suspect-networks.io/networks/cidr/45/
42,185.155.96.0/24,2016-10-07,202759,EE,https://suspect-networks.io/networks/cidr/42/
166,185.158.139.0/24,2017-11-15,31103,DE,https://suspect-networks.io/networks/cidr/166/
90,185.159.131.0/24,2016-10-26,49505,RU,https://suspect-networks.io/networks/cidr/90/
130,185.162.8.0/24,2016-12-14,21100,NL,https://suspect-networks.io/networks/cidr/130/
146,185.165.29.0/24,2017-08-13,44679,IR,https://suspect-networks.io/networks/cidr/146/
168,185.171.25.0/24,2018-01-15,60721,TR,https://suspect-networks.io/networks/cidr/168/
174,185.208.211.0/24,2018-02-27,205406,NL,https://suspect-networks.io/networks/cidr/174/
175,185.209.85.176/28,2018-02-27,57578,RU,https://suspect-networks.io/networks/cidr/175/
169,185.209.85.64/28,2018-02-21,57578,RU,https://suspect-networks.io/networks/cidr/169/
176,185.227.83.32/27,2018-02-27,205406,NL,https://suspect-networks.io/networks/cidr/176/
62,185.31.208.0/24,2016-10-18,200081,DE,https://suspect-networks.io/networks/cidr/62/
67,185.35.138.0/24,2016-10-24,62454,NL,https://suspect-networks.io/networks/cidr/67/
54,185.36.100.0/22,2016-10-07,62403,NL,https://suspect-networks.io/networks/cidr/54/
19,185.40.152.0/24,2016-10-06,59627,RU,https://suspect-networks.io/networks/cidr/19/
12,185.49.68.0/22,2016-08-18,28753,DE,https://suspect-networks.io/networks/cidr/12/
58,185.49.70.0/24,2016-10-09,28753,DE,https://suspect-networks.io/networks/cidr/58/
55,185.61.149.0/24,2016-10-07,52173,LV,https://suspect-networks.io/networks/cidr/55/
103,185.62.188.0/24,2016-10-27,49349,NL,https://suspect-networks.io/networks/cidr/103/
46,185.75.46.0/24,2016-10-07,62222,RU,https://suspect-networks.io/networks/cidr/46/
47,185.82.216.0/23,2016-10-07,59729,BG,https://suspect-networks.io/networks/cidr/47/
165,185.84.181.0/24,2017-11-08,42926,TR,https://suspect-networks.io/networks/cidr/165/
124,185.98.87.0/24,2016-12-05,49063,RU,https://suspect-networks.io/networks/cidr/124/
36,188.120.236.0/24,2016-10-06,29182,RU,https://suspect-networks.io/networks/cidr/36/
72,188.120.248.0/23,2016-10-24,29182,RU,https://suspect-networks.io/networks/cidr/72/
63,188.127.237.0/24,2016-10-18,56694,RU,https://suspect-networks.io/networks/cidr/63/
66,188.209.52.0/24,2016-10-19,49349,NL,https://suspect-networks.io/networks/cidr/66/
156,191.101.22.0/24,2017-09-15,42831,GB,https://suspect-networks.io/networks/cidr/156/
122,191.101.31.0/24,2016-12-01,35017,NL,https://suspect-networks.io/networks/cidr/122/
143,193.169.135.0/24,2017-07-17,49588,UA,https://suspect-networks.io/networks/cidr/143/
137,194.31.59.0/24,2017-02-02,6870,RU,https://suspect-networks.io/networks/cidr/137/
191,194.68.59.0/25,2018-03-02,206170,SE,https://suspect-networks.io/networks/cidr/191/
35,195.133.201.0/24,2016-10-06,48347,RU,https://suspect-networks.io/networks/cidr/35/
177,204.152.219.64/26,2018-02-27,8100,US,https://suspect-networks.io/networks/cidr/177/
141,204.44.118.192/26,2017-05-01,8100,US,https://suspect-networks.io/networks/cidr/141/
43,212.116.113.0/24,2016-10-07,35000,RU,https://suspect-networks.io/networks/cidr/43/
85,212.7.208.0/24,2016-10-25,60781,NL,https://suspect-networks.io/networks/cidr/85/
178,212.7.218.0/24,2018-02-27,198156,PL,https://suspect-networks.io/networks/cidr/178/
127,212.92.97.0/24,2016-12-07,12790,RU,https://suspect-networks.io/networks/cidr/127/
157,213.183.40.0/26,2017-09-15,56630,DE,https://suspect-networks.io/networks/cidr/157/
158,213.183.58.0/26,2017-09-15,56630,RU,https://suspect-networks.io/networks/cidr/158/
179,213.184.126.128/27,2018-02-27,199267,IL,https://suspect-networks.io/networks/cidr/179/
180,216.38.8.160/27,2018-02-27,32181,US,https://suspect-networks.io/networks/cidr/180/
98,217.12.208.0/23,2016-10-26,50673,NL,https://suspect-networks.io/networks/cidr/98/
91,217.12.218.0/24,2016-10-26,15626,NL,https://suspect-networks.io/networks/cidr/91/
39,217.12.223.0/25,2016-10-06,15626,UA,https://suspect-networks.io/networks/cidr/39/
23,217.28.218.0/24,2016-10-06,29053,RU,https://suspect-networks.io/networks/cidr/23/
14,217.29.58.128/26,2016-08-18,29053,RU,https://suspect-networks.io/networks/cidr/14/
181,23.105.131.128/25,2018-02-27,15003,US,https://suspect-networks.io/networks/cidr/181/
192,23.227.207.128/25,2018-03-02,35017,US,https://suspect-networks.io/networks/cidr/192/
107,31.184.196.0/24,2016-10-31,44050,RU,https://suspect-networks.io/networks/cidr/107/
56,31.184.234.0/24,2016-10-09,41122,ME,https://suspect-networks.io/networks/cidr/56/
44,37.46.128.0/24,2016-10-07,29182,RU,https://suspect-networks.io/networks/cidr/44/
17,37.46.134.0/23,2016-10-06,29182,RU,https://suspect-networks.io/networks/cidr/17/
142,45.35.190.0/26,2017-05-01,40676,US,https://suspect-networks.io/networks/cidr/142/
89,46.102.152.0/24,2016-10-26,51852,CH,https://suspect-networks.io/networks/cidr/89/
121,46.105.170.44/30,2016-12-01,16276,FR,https://suspect-networks.io/networks/cidr/121/
82,46.161.3.0/24,2016-10-24,59504,RU,https://suspect-networks.io/networks/cidr/82/
147,46.173.213.0/24,2017-08-25,47196,RU,https://suspect-networks.io/networks/cidr/147/
138,46.173.219.0/24,2017-02-23,47196,RU,https://suspect-networks.io/networks/cidr/138/
77,46.183.216.0/21,2016-10-24,52048,LV,https://suspect-networks.io/networks/cidr/77/
40,46.183.221.0/24,2016-10-06,52048,LV,https://suspect-networks.io/networks/cidr/40/
123,46.22.220.0/24,2016-12-04,34702,EE,https://suspect-networks.io/networks/cidr/123/
37,46.8.44.0/23,2016-10-06,21100,RU,https://suspect-networks.io/networks/cidr/37/
182,5.133.11.56/29,2018-02-27,197155,PL,https://suspect-networks.io/networks/cidr/182/
183,5.187.48.32/29,2018-02-27,197155,PL,https://suspect-networks.io/networks/cidr/183/
184,5.187.49.224/29,2018-02-27,197155,PL,https://suspect-networks.io/networks/cidr/184/
61,5.200.35.0/24,2016-10-18,48096,RU,https://suspect-networks.io/networks/cidr/61/
87,5.34.180.0/23,2016-10-25,15626,NL,https://suspect-networks.io/networks/cidr/87/
115,51.254.19.192/26,2016-11-10,16276,FR,https://suspect-networks.io/networks/cidr/115/
109,51.255.107.0/26,2016-11-01,16276,FR,https://suspect-networks.io/networks/cidr/109/
