whois.alabanza.com                 Alabanza, Inc C=US
whois.compuserve.com               CompuServe Interactive Services, Inc C=US
whois.discount-domain.com          interQ Inc. C=JP
dns411.com                         Name.Space C=US
whois.domaindiscover.com           TierraNet, Inc. C=US
whois.domainpeople.com             NetNation Communications Inc. C=CA
whois.easyspace.com                EasySpace Ltd. C=GB
whois.enom.com                     eNom, Inc. C=US
whois.geektools.com                CenterGate Research Group, LLC C=US
whois.ibm.com                      IBM C=US
whois.internetnamesww.com          Melbourne IT C=AU
whois.names4ever.com               A+Net Registrar C=US
whois.namesecure.com               Maaznet Directory Service Inc. C=US
whois.networksolutions.com         Network Solutions, Inc. C=US
whois.pacbell.com                  Pacific Bell C=US
whois.register.com                 Forman Interactive Corp C=US
whois.registrars.com               Internet Domain Registrars C=US
whois.sunquest.com                 Sunquest Information Systems C=US
whois.berkeley.edu                 University of California at Berkeley C=US
www.binghamton.edu                 State University of New York at Binghamton C=US
finger.caltech.edu                 California Institute of Technology C=US
csufresno.edu                      California State University - Fresno C=US
csuhayward.edu                     California State University - Hayward C=US
csus.edu                           California State University - Sacramento C=US
whois.cwru.edu                     Case Western Reserve University C=US
cc.fsu.edu                         Florida State University C=US
directory.gatech.edu               Georgia Institute of Technology C=US
gettysburg.edu                     Gettysburg College C=US
gmu.edu                            George Mason University C=US
whois.dfci.harvard.edu             Dana-Farber Cancer Institute C=US
hmc.edu                            Harvey Mudd College C=US
indiana.edu                        Indiana University C=US
nii.isi.edu                        US Domain Registry C=US
whois.isi.edu                      .INT Whois Service C=US
whois.messiah.edu                  Messiah College C=US
whois.rsmas.miami.edu              University of Miami, Rosentiel School of Marine and Atmospheric Sciences C=US
mit.edu                            Massachusetts Institute of Technology C=US
directory.msstate.edu              Mississippi State University C=US
vax2.winona.msus.edu               Minnesota State University - Winona C=US
info.nau.edu                       Northern Arizona University C=US
whois.ncsu.edu                     North Carolina State University C=US
nd.edu                             University of Notre Dame C=US
earth.njit.edu                     New Jersey Institute of Technology C=US
vm1.nodak.edu                      North Dakota State University C=US
austin.onu.edu                     Ohio Northern University C=US
ph.orst.edu                        Oregon State University C=US
osu.edu                            Ohio State University C=US
whois.oxy.edu                      Occidental College C=US
info.psu.edu                       Pennsylvania State University C=US
whois.cc.rochester.edu             University of Rochester C=US
whitepages.rutgers.edu             Rutgers University C=US
whois.sdsu.edu                     San Diego State University C=US
stanford.edu                       Stanford University C=US
camis.stanford.edu                 Stanford University C=US
stjohns.edu                        St. John's University C=US
sunysb.edu                         State University of New York, Stony Brook C=US
whois.bcm.tmc.edu                  Baylor College of Medicine C=US
whois.ubalt.edu                    University of Baltimore C=US
directory.ucdavis.edu              University of California at Davis C=US
uchicago.edu                       University of Chicago C=US
ucsd.edu                           University of California at San Diego C=US
weber.ucsd.edu                     University of California at San Diego, Division of Social Sciences C=US
cgl.ucsf.edu                       University of California at San Francisco, School of Pharmacy C=US
whois.uh.edu                       University of Houston C=US
whois.umass.edu                    University of Massachusetts at Amherst C=US
lookup.umd.edu                     University of Maryland C=US
umn.edu                            University of Minnesota C=US
ns.unl.edu                         University of Nebraska at Lincoln C=US
whois.upenn.edu                    University of Pennsylvania C=US
x500.utexas.edu                    University of Texas at Austin C=US
netlib2.cs.utk.edu                 na-net (linear algebra on computers) C=US
whois.virginia.edu                 University of Virginia C=US
whois.wfu.edu                      Wake Forest University C=US
wisc.edu                           University of Wisconsin C=US
wpi.wpi.edu                        Worcester Polytechnic Institute C=US
ibc.wustl.edu                      Washington University C=US
vm1.hqadmin.doe.gov                U.S. Department of Energy Headquarters C=US
wp.doe.gov                         U.S. Department of Energy C=US
llnl.gov                           Lawrence Livermore National Laboratory C=US
x500.arc.nasa.gov                  NASA Ames Research Center C=US
x500.gsfc.nasa.gov                 NASA Goddard Space Flight Center C=US
whois.hq.nasa.gov                  NASA Headquarters C=US
x500.ivv.nasa.gov                  NASA Software Independent Verification & Validation Facility C=US
whois.jpl.nasa.gov                 NASA Jet Propulsion Laboratory C=US
x500.jsc.nasa.gov                  NASA Johnson Space Center C=US
larc.nasa.gov                      NASA Langley Research Center C=US
whois.larc.nasa.gov                NASA Langley Research Center C=US
x500.msfc.nasa.gov                 NASA Marshall Space Flight Center C=US
x500.ssc.nasa.gov                  NASA Stennis Space Center C=US
x500.wstf.nasa.gov                 NASA White Sands Test Facility C=US
x500.nasa.gov                      National Aeronautics and Space Administration C=US
wp.nersc.gov                       National Energy Research Supercomputer Center C=US
whois.nic.gov                      Center for Email Technology C=US
seda.sandia.gov                    Sandia National Laboratories C=US
whois.nic.mil                      DoD Network Information Center C=US
whois.nrl.navy.mil                 Naval Research Laboratory C=US
whois.6bone.net                    6bone Registry C=US
whois.abuse.net                    Network Abuse Clearinghouse C=US
whois.aco.net                      Austrian Academic Computer Network C=AT
whois.apnic.net                    Asia Pacific Network Information Center C=SC
whois.arin.net                     American Registry for Internet Numbers C=US
whois.aunic.net                    The .AU Registry C=AU
whois.awregistry.net               All West Communications C=US
whois.cary.net                     CARYNET & HK eDNS Whois server C=HK
whois.corenic.net                  CORE Internet Council of Registrars C=CH
whois.crsnic.net                   Network Solutions, Inc. for Shared Registration System C=US
whois.cw.net                       Cable & Wireless USA C=US
wp.es.net                          Energy Sciences Network C=US
whois.hinet.net                    Chunghwa Telecom C=TW
ds.internic.net                    Network Solutions, Inc. (non-MILNET/non-POC) C=US
whois.internic.net                 Network Solutions, Inc. C=US
whois.ja.net                       JANET C=GB
whois.krnic.net                    Korea Network Information Center C=KR
whois.lac.net                      Latin America & Caribbean Whois Server C=EC
companies.mci.net                  RFC 2345 TLD-WHOIS demonstration server C=US
whois.nameit.net                   nameIT C=US
whois.netnames.net                 NetNames (.AF, .BT, .PW, .TM) C=GB
whois.nomination.net               NomiNation (.GB.COM, .GB.NET, .UK.COM, .UK.NET) C=GB
whois.nsiregistry.net              Network Solutions, Inc. C=US
whois.oleane.net                   OLEANE SA C=FR
