"id","mtime","file","mtype","refname","fullname","name","rank","description","license","privileged","disclosure_date","default_target","default_action","stance","ready","ref_names","author_names"
1,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/aix/rpc_cmsd_opcode21.rb","exploit","aix/rpc_cmsd_opcode21","exploit/aix/rpc_cmsd_opcode21","AIX Calendar Manager Service Daemon (rpc.cmsd) Opcode 21 Buffer Overflow",500,"This module exploits a buffer overflow vulnerability in opcode 21 handled by rpc.cmsd on AIX. By making a request with a long string passed to the first argument of the ""rtable_create"" RPC, a stack based buffer overflow occurs. This leads to arbitrary code execution.  NOTE: Unsuccessful attempts may cause inetd/portmapper to enter a state where further attempts are not possible.","Metasploit Framework License (BSD)","f","2009-10-07 00:00:00",0,,"aggressive","t","BID-36615, CVE-2009-3699, OSVDB-58726, URL-http://aix.software.ibm.com/aix/efixes/security/cmsd_advisory.asc, URL-http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=825","Rodrigo Rubira Branco (BSDaemon), jduck <jduck@metasploit.com>"
2,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/aix/rpc_ttdbserverd_realpath.rb","exploit","aix/rpc_ttdbserverd_realpath","exploit/aix/rpc_ttdbserverd_realpath","ToolTalk rpc.ttdbserverd _tt_internal_realpath Buffer Overflow (AIX)",500,"This module exploits a buffer overflow vulnerability in _tt_internal_realpath function of the ToolTalk database server (rpc.ttdbserverd).","Metasploit Framework License (BSD)","f","2009-06-17 00:00:00",0,,"aggressive","t","CVE-2009-2727, OSVDB-55151","Adriano Lima <adriano@risesecurity.org>, Ramon de C Valle <rcvalle@metasploit.com>"
3,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/apple_ios/browser/safari_libtiff.rb","exploit","apple_ios/browser/safari_libtiff","exploit/apple_ios/browser/safari_libtiff","Apple iOS MobileSafari LibTIFF Buffer Overflow",400,"This module exploits a buffer overflow in the version of libtiff shipped with firmware versions 1.00, 1.01, 1.02, and 1.1.1 of the Apple iPhone. iPhones which have not had the BSD tools installed will need to use a special payload.","Metasploit Framework License (BSD)","f","2006-08-01 00:00:00",0,,"passive","t","BID-19283, CVE-2006-3459, OSVDB-27723","hdm <hdm@metasploit.com>, kf <kf_list@digitalmunition.com>"
4,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/apple_ios/email/mobilemail_libtiff.rb","exploit","apple_ios/email/mobilemail_libtiff","exploit/apple_ios/email/mobilemail_libtiff","Apple iOS MobileMail LibTIFF Buffer Overflow",400,"This module exploits a buffer overflow in the version of libtiff shipped with firmware versions 1.00, 1.01, 1.02, and 1.1.1 of the Apple iPhone. iPhones which have not had the BSD tools installed will need to use a special payload.","Metasploit Framework License (BSD)","f","2006-08-01 00:00:00",0,,"passive","t","BID-19283, CVE-2006-3459, OSVDB-27723","hdm <hdm@metasploit.com>, kf <kf_list@digitalmunition.com>"
5,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/apple_ios/ssh/cydia_default_ssh.rb","exploit","apple_ios/ssh/cydia_default_ssh","exploit/apple_ios/ssh/cydia_default_ssh","Apple iOS Default SSH Password Vulnerability",600,"This module exploits the default credentials of Apple iOS when it has been jailbroken and the passwords for the 'root' and 'mobile' users have not been changed.","Metasploit Framework License (BSD)","t","2007-07-02 00:00:00",0,,"aggressive","t","OSVDB-61284","hdm <hdm@metasploit.com>"
6,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/bsdi/softcart/mercantec_softcart.rb","exploit","bsdi/softcart/mercantec_softcart","exploit/bsdi/softcart/mercantec_softcart","Mercantec SoftCart CGI Overflow",500,"This is an exploit for an undisclosed buffer overflow in the SoftCart.exe CGI as shipped with Mercantec's shopping cart software. It is possible to execute arbitrary code by passing a malformed CGI parameter in an HTTP GET request. This issue is known to affect SoftCart version 4.00b.","Metasploit Framework License (BSD)","f","2004-08-19 00:00:00",0,,"aggressive","t","BID-10926, CVE-2004-2221, OSVDB-9011","skape <mmiller@hick.org>, trew"
7,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/dialup/multi/login/manyargs.rb","exploit","dialup/multi/login/manyargs","exploit/dialup/multi/login/manyargs","System V Derived /bin/login Extraneous Arguments Buffer Overflow",400,"This exploit connects to a system's modem over dialup and exploits a buffer overlflow vulnerability in it's System V derived /bin/login. The vulnerability is triggered by providing a large number of arguments.","Metasploit Framework License (BSD)","f","2001-12-12 00:00:00",0,,"aggressive","t","BID-3681, CVE-2001-0797, OSVDB-690, OSVDB-691, URL-http://archives.neohapsis.com/archives/bugtraq/2002-10/0014.html, URL-http://archives.neohapsis.com/archives/bugtraq/2004-12/0404.html","I)ruid <druid@caughq.org>"
8,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/freebsd/ftp/proftp_telnet_iac.rb","exploit","freebsd/ftp/proftp_telnet_iac","exploit/freebsd/ftp/proftp_telnet_iac","ProFTPD 1.3.2rc3 - 1.3.3b Telnet IAC Buffer Overflow (FreeBSD)",500,"This module exploits a stack-based buffer overflow in versions of ProFTPD server between versions 1.3.2rc3 and 1.3.3b. By sending data containing a large number of Telnet IAC commands, an attacker can corrupt memory and execute arbitrary code.","Metasploit Framework License (BSD)","t","2010-11-01 00:00:00",0,,"aggressive","t","BID-44562, CVE-2010-4221, OSVDB-68985","jduck <jduck@metasploit.com>"
9,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/freebsd/samba/trans2open.rb","exploit","freebsd/samba/trans2open","exploit/freebsd/samba/trans2open","Samba trans2open Overflow (*BSD x86)",500,"This exploits the buffer overflow found in Samba versions 2.2.0 to 2.2.8. This particular module is capable of exploiting the flaw on x86 Linux systems that do not have the noexec stack option set.","Metasploit Framework License (BSD)","t","2003-04-07 00:00:00",0,,"aggressive","t","BID-7294, CVE-2003-0201, OSVDB-4469, URL-http://seclists.org/bugtraq/2003/Apr/103","hdm <hdm@metasploit.com>, jduck <jduck@metasploit.com>"
10,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/freebsd/tacacs/xtacacsd_report.rb","exploit","freebsd/tacacs/xtacacsd_report","exploit/freebsd/tacacs/xtacacsd_report","XTACACSD <= 4.1.2 report() Buffer Overflow",200,"This module exploits a stack buffer overflow in XTACACSD <= 4.1.2. By sending a specially crafted XTACACS packet with an overly long username, an attacker may be able to execute arbitrary code.","Metasploit Framework License (BSD)","t","2008-01-08 00:00:00",0,,"aggressive","t","CVE-2008-7232, OSVDB-58140, URL-http://aluigi.altervista.org/adv/xtacacsdz-adv.txt","MC <mc@metasploit.com>"
