"bizID","bizCat","bizCatSub","bizName","bizAddr","bizCity","bizState","bizZip","bizPhone","bizFax","bizEmail","bizURL","locAreaCode","locFIPS","locTimeZone","locDST","locLat","locLong","locMSA","locPMSA","locCounty"
1,"Gambling & Casinos","Casino & Gambling Equipment Rental","6 Hit Big Jackpots Now- Online Slot Casino","Red 7 Casino Online Service","Saint Paul","MN","55117","(612)730-7911","","online@red7casino.com","","651","27123","CST","Y","44.9981","-93.0983","5120","","Ramsey"
2,"Gambling & Casinos","Casino & Gambling Equipment Rental","A Arizona Casino Parties & Entertainment","7300 E. Camelback Road","Phoenix","AZ","85008","(480)325-0874","","amusingevents@aol.com","www.ArizonaCasinoParties.com","602","04013","MST","N","33.4647","-111.9872","6200","","Maricopa"
3,"Gambling & Casinos","Casino & Gambling Equipment Rental","A Touch Of Vegas","13950 Distribution Way","Dallas","TX","75234","(972)241-4833","","","","972","48113","CST","Y","32.9262","-96.8868","","1920","Dallas"
4,"Gambling & Casinos","Casino & Gambling Equipment Rental","AA Mabrouk Entertainment Inc.","7226 Teruel","New Port Richey","FL","34652","(800)638-3058","","mistirkap39@aol.com","aamabrouk.com","727","12101","EST","Y","28.2352","-82.7347","8280","","Pasco"
5,"Gambling & Casinos","Casino & Gambling Equipment Rental","AAA Casino Magic","1464 Graves Avenue","El Cajon","CA","92019","(619)444-7264","","","www.casinomagicparties.co","619","06073","PST","Y","32.7856","-116.8874","7320","","San Diego"
6,"Gambling & Casinos","Casino & Gambling Equipment Rental","Aaron's Casino & Golf Parties","17194 Preston Road Frnt","Dallas","TX","75248","(972)713-6007","","aaron@airmail.net","www.aaronscasino.com","972","48113","CST","Y","32.9703","-96.7964","","1920","Dallas"
7,"Gambling & Casinos","Casino & Gambling Equipment Rental","Ac Coin & Slot","2002 West River Drive","Davenport","IA","52802","(563)322-3232","","","","563","19163","CST","Y","41.5009","-90.6380","1960","","Scott"
8,"Gambling & Casinos","Casino & Gambling Equipment Rental","Ace Casino","9125 Sudy Street","La Mesa","CA","91942","(619)668-9544","","","","619","06073","PST","Y","32.7837","-117.0155","7320","","San Diego"
9,"Gambling & Casinos","Casino & Gambling Equipment Rental","Ace Casino Equipment","1375 East 17th Street","Tucson","AZ","85719","(520)770-9288","","","","520","04019","MST","N","32.2456","-110.9484","8520","","Pima"
10,"Gambling & Casinos","Casino & Gambling Equipment Rental","Ace Monte Carlo Associates","37 Charleston North","Houston","TX","77002","(281)437-1573","","","www.mccasinoparties.com","713","48201","CST","Y","29.7594","-95.3630","","3360","Harris"
11,"Gambling & Casinos","Casino & Gambling Equipment Rental","Aces High Casino Parties","11911 Jones-Maltsberger Rd","San Antonio","TX","78216","(210)494-0090","","kim@partiespicnics.com","www.partiespicnics.com","210","48029","CST","Y","29.5371","-98.4882","7240","","Bexar"
12,"Gambling & Casinos","Casino & Gambling Equipment Rental","All-In Entertainment","P.O. Box 1973","Cary","NC","27512","(919)363-4050","","","www.all-inentertainment.com","919","37183","EST","Y","35.7695","-78.7966","6640","","Wake"
13,"Gambling & Casinos","Casino & Gambling Equipment Rental","Allison's Fun Incorporated","3200 Double Centre Drive","Norman","OK","73069","(405)447-1118","","","www.allisonsfuninc.com","405","40027","CST","Y","35.2517","-97.4627","5880","","Cleveland"
14,"Gambling & Casinos","Casino & Gambling Equipment Rental","Amusitronix","1317 West Lark Drive","Fenton","MO","63026","(636)326-4654","","","www.amusitronix.com","636","29189","CST","Y","38.5035","-90.4616","7040","","Saint Louis"
15,"Gambling & Casinos","Casino & Gambling Equipment Rental","Aristocratic Casino Party","2903 Victoria","Coconut Creek","FL","33066","(561)391-0044","","","","954","12011","EST","Y","26.2536","-80.1776","","2680","Broward"
16,"Gambling & Casinos","Casino & Gambling Equipment Rental","AYOUB & ASSOCIATES-TAYLOR RENTAL PARTY PLUS","4472 CORPORATE SQUARE","NAPLES","FL","34104","(239)643-1334","","INFO@TAYLORRENTALNAPLES.COM","www.taylorrentalnaples.com","239","12021","EST","Y","26.1527","-81.7427","5345","","Collier"
17,"Gambling & Casinos","Casino & Gambling Equipment Rental","Bay Casino Gaming - Not Bay","101 Castro Street","San Francisco","CA","94114","(415)282-0224","","","","415","06075","PST","Y","37.7581","-122.4354","","7360","San Francisco"
18,"Gambling & Casinos","Casino & Gambling Equipment Rental","Bounce St Louis Llc","2030 Southway Drive","Arnold","MO","63010","(636)461-1973","","","www.bouncestlouis.co","636","29099","CST","Y","38.4305","-90.3985","7040","","Jefferson"
19,"Gambling & Casinos","Casino & Gambling Equipment Rental","By George Inc- Your Party Planning Professional","610 Jack Rabbit Rd Suite A","Virginia Beach","VA","23451","(757)422-6420","","ebygeorge@aol.com","www.entertainmentbygeorge.com","757","51810","EST","Y","36.8632","-76.0008","5720","","Virginia Beach City"
20,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino","107 Calle Del Norte","Laredo","TX","78041","(956)723-5550","","","","956","48479","CST","Y","27.9045","-99.4431","4080","","Webb"
21,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino 2000","830 US Highway 12 Suite 4","Baraboo","WI","53913","(608)356-8946","","","www.casino2000.com","608","55111","CST","Y","43.4869","-89.7322","","","Sauk"
22,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino de Paris","9636 Long Beach Boulevard","South Gate","CA","90280","(323)566-1001","","","","323","06037","PST","Y","33.9490","-118.2020","","4480","Los Angeles"
23,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino Game Services","Po Box 1227","Bloomington","CA","92316","(909)875-7808","","","","909","06071","PST","Y","34.0579","-117.3953","","6780","San Bernardino"
24,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino Gold","Po Box 881122","La Mesa","CA","91941","(619)303-4653","","","www.casinogoldsd.co","619","06073","PST","Y","32.7605","-116.9997","7320","","San Diego"
25,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino Knights","156 Ocean View","Carpinteria","CA","93013","(805)745-1107","","","","805","06083","PST","Y","34.6066","-119.5558","7480","","Santa Barbara"
26,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino Knights Entertainment","1261 Hawks Flight Court","El Dorado Hills","CA","95762","(916)939-7722","","","","916","06017","PST","Y","38.7155","-121.0712","","6920","El Dorado"
27,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino Mardi GRAS","1327 Main St","Billings","MT","59105","(406)245-3272","","","","406","30111","MST","Y","45.8705","-108.4771","0880","","Yellowstone"
28,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino On Wheels","4725 Lucinda Avenue","Keyes","CA","95328","(209)480-2536","","","www.casinoonwheels.com","209","06099","PST","Y","37.5573","-120.9137","5170","","Stanislaus"
29,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino Parties by Full House Entertainment Inc","Ridgewood Area","Ridgewood","NJ","07450","(201)445-3080","","","","201","34003","EST","Y","40.9820","-74.1124","","0875","Bergen"
30,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino Party Specialists","2932 Coventry Lane","Waukesha","WI","53188","(262)970-7654","","packerfn1@yahoo.com","www.wicasinoparties.com","262","55133","CST","Y","42.9962","-88.3115","","5080","Waukesha"
31,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino Supply Co","13950 Distribution Way","Dallas","TX","75234","(972)241-4813","","","www.casinosupply.com","972","48113","CST","Y","32.9262","-96.8868","","1920","Dallas"
32,"Gambling & Casinos","Casino & Gambling Equipment Rental","Casino Supply Co","13950 Distribution Way","Dallas","TX","75234","(972)241-4833","","","www.casinosupply.com","972","48113","CST","Y","32.9262","-96.8868","","1920","Dallas"
33,"Gambling & Casinos","Casino & Gambling Equipment Rental","Celebrations Entertainment - Fun Equipment","1004 East 2nd Street North","Wichita","KS","67214","(316)264-2637","","","www.partyusa.com","316","20173","CST","Y","37.7072","-97.3175","9040","","Sedgwick"
34,"Gambling & Casinos","Casino & Gambling Equipment Rental","Chicago Party Rental","9480 West 55th Street","Countryside","IL","60525","(708)352-2956","","","www.chicagopartyrental.com","708","17031","CST","Y","41.7814","-87.8717","","1600","Cook"
35,"Gambling & Casinos","Casino & Gambling Equipment Rental","Chicago Party Rental","9480 West 55th Street","Countryside","IL","60525","(815)727-2959","","","www.chicagopartyrental.com","708","17031","CST","Y","41.7814","-87.8717","","1600","Cook"
36,"Gambling & Casinos","Casino & Gambling Equipment Rental","Chicago Party Rental","Chicagoland","Libertyville","IL","60048","(847)680-3950","","","www.chicagopartyrental.com","847","17097","CST","Y","42.2938","-87.9449","","1600","Lake"
37,"Gambling & Casinos","Casino & Gambling Equipment Rental","Chicago Party Rental Braun Event & Tent","Chicagoland","Hinsdale","IL","60521","(630)323-0270","","","www.chicagopartyrental.com","630","17043","CST","Y","41.8018","-87.9282","","1600","DuPage"
38,"Gambling & Casinos","Casino & Gambling Equipment Rental","Clark J Promotions Inc","5615 Crawford Street","New Orleans","LA","70123","(504)729-6990","","","","504","22051","CST","Y","29.9536","-90.2034","5560","","Jefferson"
39,"Gambling & Casinos","Casino & Gambling Equipment Rental","Com","Woodbine Lane","Sparta","NJ","07871","(973)729-4111","","","","973","34037","EST","Y","41.0447","-74.6279","","5640","Sussex"
40,"Gambling & Casinos","Casino & Gambling Equipment Rental","Entertainment Themes Indiana Inc.","5534 West Raymond Street","Indianapolis","IN","46241","(317)246-1111","(317)246-9999","wcomer1167@aol.com","www.entertainmentthemes.co","317","18097","EST","N","39.7251","-86.2640","3480","","Marion"
41,"Gambling & Casinos","Casino & Gambling Equipment Rental","Excel Fund Raising","1428 Laredo Street","Corpus Christi","TX","78401","(361)882-4414","","","www.excelfundraising.com","361","48355","CST","Y","27.7980","-97.4011","1880","","Nueces"
42,"Gambling & Casinos","Casino & Gambling Equipment Rental","Excel Fund Raising","PO Box 260536","Corpus Christi","TX","78410","(361)387-7168","","excelfundr@aol.com","","361","48355","CST","Y","27.8427","-97.5948","1880","","Nueces"
43,"Gambling & Casinos","Casino & Gambling Equipment Rental","Fun Events","3959 Old Taneytown Road","Taneytown","MD","21787","(410)756-5500","","funevents@verizonmail.com","www.funeventsusa.com","410","24013","EST","Y","39.6723","-77.1742","","0720","Carroll"
44,"Gambling & Casinos","Casino & Gambling Equipment Rental","Gamblers General Supply","31796 Casino Dr #H","Lake Elsinore","CA","92530","(951)674-6186","(267)295-2572","sales@gamblersgeneralsupply.com","www.gamblersgeneralsupply.com","951","06065","PST","Y","33.5976","-117.3895","","6780","Riverside"
