42613,zip,city,state,population,males,females
00501,Holtsville,NY,,,,
00544,Holtsville,NY,,,,
00601,Adjuntas,PR,18570,9078,9492,
00602,Aguada,PR,41520,20396,21124,
00603,Aguadilla,PR,54689,26597,28092,
00604,Aguadilla,PR,,,,
00605,Aguadilla,PR,,,,
00606,Maricao,PR,6615,3268,3347,
00610,Anasco,PR,29016,14104,14912,
00611,Angeles,PR,,,,
00612,Arecibo,PR,67010,31735,35275,
00613,Arecibo,PR,,,,
00614,Arecibo,PR,,,,
00616,Bajadero,PR,11017,5318,5699,
00617,Barceloneta,PR,24597,11827,12770,
00622,Boqueron,PR,7853,3783,4070,
00623,Cabo Rojo,PR,43061,20603,22458,
00624,Penuelas,PR,26241,12833,13408,
00627,Camuy,PR,35159,17037,18122,
00631,Castaner,PR,1852,903,949,
00636,Rosario,PR,,,,
00637,Sabana Grande,PR,25287,12068,13219,
00638,Ciales,PR,18941,9330,9611,
00641,Utuado,PR,31191,15249,15942,
00646,Dorado,PR,38199,18330,19869,
00647,Ensenada,PR,6172,3028,3144,
00650,Florida,PR,14998,7285,7713,
00652,Garrochales,PR,4715,2322,2393,
00653,Guanica,PR,13307,6386,6921,
00656,Guayanilla,PR,21481,10428,11053,
00659,Hatillo,PR,41953,20296,21657,
00660,Hormigueros,PR,17250,8027,9223,
00662,Isabela,PR,43282,21028,22254,
00664,Jayuya,PR,16784,8386,8398,
00667,Lajas,PR,25968,12713,13255,
00669,Lares,PR,29744,14621,15123,
00670,Las Marias,PR,9807,4852,4955,
00674,Manati,PR,44457,21192,23265,
00676,Moca,PR,40316,19778,20538,
00677,Rincon,PR,15272,7414,7858,
00678,Quebradillas,PR,27819,13580,14239,
00680,Mayaguez,PR,58140,27990,30150,
00681,Mayaguez,PR,,,,
00682,Mayaguez,PR,32615,15586,17029,
00683,San German,PR,33772,16347,17425,
00685,San Sebastian,PR,42831,20921,21910,
00687,Morovis,PR,32610,16245,16365,
00688,Sabana Hoyos,PR,13543,6941,6602,
00690,San Antonio,PR,6255,3051,3204,
00692,Vega Alta,PR,37511,17966,19545,
00693,Vega Baja,PR,61038,29367,31671,
00694,Vega Baja,PR,328,182,146,
00698,Yauco,PR,41782,20223,21559,
00703,Aguas Buenas,PR,28605,14040,14565,
00704,Aguirre,PR,8577,4127,4450,
00705,Aibonito,PR,25598,12426,13172,
00707,Maunabo,PR,12225,6039,6186,
00714,Arroyo,PR,19566,9228,10338,
00715,Mercedita,PR,3656,1725,1931,
00716,Ponce,PR,33779,15538,18241,
00717,Ponce,PR,18457,8044,10413,
00718,Naguabo,PR,26606,12769,13837,
00719,Naranjito,PR,30990,15337,15653,
00720,Orocovis,PR,23129,11651,11478,
00721,Palmer,PR,,,,
00723,Patillas,PR,19277,9516,9761,
00725,Caguas,PR,89374,41904,47470,
00726,Caguas,PR,,,,
00727,Caguas,PR,58382,27666,30716,
00728,Ponce,PR,44908,23085,21823,
00729,Canovanas,PR,53750,25884,27866,
00730,Ponce,PR,35742,16911,18831,
00731,Ponce,PR,15524,7661,7863,
00732,Ponce,PR,,,,
00733,Ponce,PR,,,,
00734,Ponce,PR,,,,
00735,Ceiba,PR,13730,6493,7237,
00736,Cayey,PR,51532,24930,26602,
00737,Cayey,PR,,,,
00738,Fajardo,PR,34922,16469,18453,
00739,Cidra,PR,39678,19416,20262,
00740,Puerto Real,PR,2071,959,1112,
00741,Punta Santiago,PR,4971,2314,2657,
00742,Roosevelt Roads,PR,,,,
00744,Rio Blanco,PR,,,,
00745,Rio Grande,PR,55062,26884,28178,
00751,Salinas,PR,23129,11279,11850,
00754,San Lorenzo,PR,40828,20022,20806,
00757,Santa Isabel,PR,23263,11241,12022,
00765,Vieques,PR,9098,4502,4596,
00766,Villalba,PR,26488,13061,13427,
00767,Yabucoa,PR,38019,18546,19473,
00769,Coamo,PR,40248,19605,20643,
00771,Las Piedras,PR,38394,18604,19790,
00772,Loiza,PR,23105,10964,12141,
00773,Luquillo,PR,20068,9543,10525,
00775,Culebra,PR,1786,905,881,
00777,Juncos,PR,40684,19476,21208,
00778,Gurabo,PR,45429,21760,23669,
00780,Coto Laurel,PR,13800,6743,7057,
00782,Comerio,PR,19304,9593,9711,
