name,repository
activesupport,https://github.com/rails/rails
activerecord,https://github.com/rails/rails
rails,https://github.com/rails/rails
bundler,https://github.com/bundler/bundler
rubocop,https://github.com/bbatsov/rubocop
railties,https://github.com/rails/rails
actionpack,https://github.com/rails/rails
activemodel,https://github.com/rails/rails
nokogiri,https://github.com/sparklemotion/nokogiri
rspec-rails,https://github.com/rspec/rspec-rails
rdoc,https://github.com/rdoc/rdoc
sinatra,https://github.com/sinatra/sinatra
devise,https://github.com/plataformatec/devise
activeresource,https://github.com/rails/rails
byebug,https://github.com/deivid-rodriguez/byebug
addressable,https://github.com/sporkmonger/addressable
tzinfo,https://github.com/tzinfo/tzinfo
github-markup,https://github.com/github/markup
sqlite3,https://github.com/sparklemotion/sqlite3-ruby
redcarpet,https://github.com/vmg/redcarpet
jekyll,https://github.com/jekyll/jekyll
webmock,https://github.com/bblimke/webmock
hashie,https://github.com/intridea/hashie
eventmachine,https://github.com/eventmachine/eventmachine
thor,https://github.com/erikhuda/thor
pry,https://github.com/pry/pry
faker,https://github.com/stympy/faker
activejob,https://github.com/rails/rails
actionmailer,https://github.com/rails/rails
capybara,https://github.com/teamcapybara/capybara
rspec-core,https://github.com/rspec/rspec-core
yajl-ruby,https://github.com/brianmario/yajl-ruby
uglifier,https://github.com/lautis/uglifier
guard,https://github.com/guard/guard
yard,https://github.com/lsegal/yard
poltergeist,https://github.com/teampoltergeist/poltergeist
simple_form,https://github.com/plataformatec/simple_form
jquery-rails,https://github.com/rails/jquery-rails
pry-byebug,https://github.com/deivid-rodriguez/pry-byebug
capistrano,https://github.com/capistrano/capistrano
oauth2,https://github.com/intridea/oauth2
coveralls,https://github.com/lemurheavy/coveralls-ruby
actionview,https://github.com/rails/rails
faraday,https://github.com/lostisland/faraday
ffaker,https://github.com/ffaker/ffaker
rspec-mocks,https://github.com/rspec/rspec-mocks
selenium-webdriver,https://github.com/SeleniumHQ/selenium
multi_json,https://github.com/intridea/multi_json
sidekiq,https://github.com/mperham/sidekiq
bootstrap-sass,https://github.com/twbs/bootstrap-sass
sprockets,https://github.com/rails/sprockets
tilt,https://github.com/rtomayko/tilt
dotenv,https://github.com/bkeepers/dotenv
simplecov,https://github.com/colszowka/simplecov
rspec-expectations,https://github.com/rspec/rspec-expectations
httpclient,https://github.com/nahi/httpclient
logstash-core,https://github.com/elastic/logstash
haml,https://github.com/haml/haml
kaminari,https://github.com/kaminari/kaminari
vcr,https://github.com/vcr/vcr
thin,https://github.com/macournoyer/thin
geocoder,https://github.com/alexreisner/geocoder
typhoeus,https://github.com/typhoeus/typhoeus
spree_core,https://github.com/spree/spree
awesome_print,https://github.com/awesome-print/awesome_print
concurrent-ruby,https://github.com/ruby-concurrency/concurrent-ruby
excon,https://github.com/excon/excon
puppet,https://github.com/puppetlabs/puppet
slop,https://github.com/leejarvis/slop
mysql2,https://github.com/brianmario/mysql2
mini_magick,https://github.com/minimagick/minimagick
virtus,https://github.com/solnic/virtus
fog,https://github.com/fog/fog
chef,https://github.com/chef/chef
oj,https://github.com/ohler55/oj
