.NET Framework API Reference version 4.7.2
Name	Description
Accessibility Namespace	The Accessibility and all of its exposed members are part of a managed wrapper for the Component Object Model (COM) accessibility interface.
Microsoft.Activities.Build Namespace	Classes related to workflow build tasks.
Microsoft.Activities.Build.Debugger Namespace	Classes related to the build debugger.
Microsoft.Activities.Build.Expressions Namespace	Classes related to build expressions.
Microsoft.Activities.Build.Validation Namespace	The Microsoft.Activities.Build.Validation provides classes related to build validation.
Microsoft.Build.BuildEngine Namespace	The Microsoft.Build.BuildEngine namespace represents the MSBuild engine. For information, see MSBuild.
Microsoft.Build.Construction Namespace	Contains types that the MSBuild object model uses to construct project roots with unevaluated values. Each project root corresponds to a project or targets file. For information, see MSBuild.
Microsoft.Build.Conversion Namespace	Contains types that Visual Studio uses to convert project files from an older version of Visual Studio.
Microsoft.Build.Debugging Namespace	Contains type for managing the debugger.
Microsoft.Build.Evaluation Namespace	Contains types that the MSBuild object model uses to evaluate projects. Each project is associated with one or more project roots. For information, see MSBuild.
Microsoft.Build.Exceptions Namespace	Contains exception types that may be thrown during the build process.
Microsoft.Build.Execution Namespace	Contains types that the MSBuild object model uses to build projects. For information, see MSBuild.
Microsoft.Build.Framework Namespace	The Microsoft.Build.Framework namespace contains the types that define how tasks and loggers interact with the MSBuild engine. For information, see MSBuild.
Microsoft.Build.Framework.XamlTypes Namespace	Classes used to represent XAML types parsed from files, rules, and other sources.
Microsoft.Build.Logging Namespace	Contains types used for logging the progress of a build. For information, see MSBuild.
Microsoft.Build.Tasks Namespace	The Microsoft.Build.Tasks namespace contains the implementation of all tasks shipping with MSBuild. For information, see MSBuild.
Microsoft.Build.Tasks.Deployment.Bootstrapper Namespace	The Microsoft.Build.Tasks.Deployment.Bootstrapper namespace contains classes used internally by MSBuild.
Microsoft.Build.Tasks.Deployment.ManifestUtilities Namespace	The Microsoft.Build.Tasks.Deployment.ManifestUtilities namespace contains classes that MSBuild uses.
Microsoft.Build.Tasks.Hosting Namespace	The Microsoft.Build.Tasks.Hosting namespace contains classes used internally by MSBuild.
Microsoft.Build.Tasks.Windows Namespace	The Microsoft.Build.Tasks.Windows namespace contains the implementation of all tasks shipping with MSBuild. The types in this namespace support the Windows Presentation Foundation (WPF) infrastructure and are not intended to be used directly from your code.
Microsoft.Build.Tasks.Xaml Namespace	Provides classes related to XAML build tasks.
Microsoft.Build.Utilities Namespace	The Microsoft.Build.Utilities namespace provides helper classes that you can use to create your own MSBuild loggers and tasks. For information, see MSBuild.
Microsoft.CSharp Namespace	The Microsoft.CSharp namespace contains classes that support compilation and code generation using the C# language.
Microsoft.CSharp.Activities Namespace	Classes related to C# activities.
Microsoft.CSharp.RuntimeBinder Namespace	The Microsoft.CSharp.RuntimeBinder namespace provides classes and interfaces that support interoperation between Dynamic Language Runtime and C#.
Microsoft.JScript Namespace	The Microsoft.JScript namespace contains classes that support compilation and code generation using the JScript language.
Microsoft.JScript.Vsa Namespace	The Microsoft.JScript.Vsa namespace contains interfaces that allow you to integrate Script for the.NET Framework script engines into JScript, and to compile and execute code at run time.
Microsoft.SqlServer.Server Namespace	The Microsoft.SqlServer.Server namespace contains classes, interfaces, and enumerations that are specific to the integration of the Microsoft .NET Framework common language runtime (CLR) into Microsoft SQL Server, and the SQL Server database engine process execution environment.
Microsoft.VisualBasic Namespace	The Microsoft.VisualBasic namespace contains types that support the Visual Basic Runtime in Visual Basic.
Microsoft.VisualBasic.Activities Namespace	Provides classes related to Visual Basic activities.h
Microsoft.VisualBasic.Activities.XamlIntegration Namespace	Provides classes related to Visual Basic XAML integration.
Microsoft.VisualBasic.ApplicationServices Namespace	The Microsoft.VisualBasic.ApplicationServices namespace contains types that support the Visual Basic Application Model and provide access to application information.
Microsoft.VisualBasic.Compatibility.VB6 Namespace	The Microsoft.VisualBasic.Compatibility.VB6 namespace contains functions and objects provided use by the tools for upgrading from Visual Basic 6.0 to Visual Basic 2008.
Microsoft.VisualBasic.CompilerServices Namespace	The Microsoft.VisualBasic.CompilerServices namespace contains internal-use only types that support the Visual Basic compiler.
Microsoft.VisualBasic.Devices Namespace	The Microsoft.VisualBasic.Devices namespace contains types that support the My objects related to devices in Visual Basic.
Microsoft.VisualBasic.FileIO Namespace	The Microsoft.VisualBasic.FileIO namespace contains types that support the My file system object in Visual Basic.
Microsoft.VisualBasic.Logging Namespace	The Microsoft.VisualBasic.Logging namespace contains types that support the My logging objects in Visual Basic and provides a simple log listener that directs logging output to file.
Microsoft.VisualBasic.MyServices Namespace	The Microsoft.VisualBasic.MyServices namespace contains types that support My in Visual Basic.
Microsoft.VisualBasic.MyServices.Internal Namespace	The Microsoft.VisualBasic.MyServices.Internal namespace contains internal-use only types that support My in Visual Basic.
Microsoft.VisualC Namespace	The Microsoft.VisualC namespace contains classes that support compilation and code generation using the C++ language.
Microsoft.VisualC.StlClr Namespace	Contains the classes, interfaces, and enumerators that are used to implement the STL/CLR Library.
Microsoft.VisualC.StlClr.Generic Namespace	Contains the classes, interfaces, and iterators that are used to implement the generic interface to the . By using this generic interface, other .NET languages, such as C# and Visual Basic, can call code that is written using STL/CLR.
Microsoft.Win32 Namespace	The Microsoft.Win32 namespace provides two types of classes: those that handle events raised by the operating system and those that manipulate the system registry.
Microsoft.Win32.SafeHandles Namespace	The Microsoft.Win32.SafeHandles namespace contains classes that are abstract derivations of safe handle classes that provide common functionality supporting file and operating system handles.
Microsoft.Windows.Input Namespace	Contains interfaces for preview commands in a Microsoft Ribbon for WPF control.
Microsoft.Windows.Themes Namespace	Provides exposure to the set of themes defined by Windows Presentation Foundation. In WPF, a theme is a set of resources, defined at the system level, which provide the default appearance for controls and other visual elements of an application. WPF themes are created using styles and include Luna, Aero, Royale, and Classic. Only the client area of a WPF application uses these themes; the appearance of the window border and buttons that form the window chrome is controlled by the Win32 theme service.
System Namespace	The System namespace contains fundamental classes and base classes that define commonly-used value and reference data types, events and event handlers, interfaces, attributes, and processing exceptions.
System.Activities Namespace	Provides classes related to system activities.
System.Activities.Core.Presentation Namespace	Provides classes related to presentation.
System.Activities.Core.Presentation.Factories Namespace	Provides classes related to presentation factories.
System.Activities.Core.Presentation.Themes Namespace	Provides classes related to presentation themes.
System.Activities.Debugger Namespace	Provides classes related to the system debugger.
System.Activities.Debugger.Symbol Namespace	Provides classes related to debugger symbols.
System.Activities.DurableInstancing Namespace	Provides classes related to durable instancing.
System.Activities.DynamicUpdate Namespace	Provides classes related to dynamic updates.
System.Activities.ExpressionParser Namespace	Provides classes related to expression parsing.
System.Activities.Expressions Namespace	Provides classes related to expressions.
System.Activities.Hosting Namespace	Provides classes related to hosting.
System.Activities.Persistence Namespace	Provides classes related to persistence.
System.Activities.Presentation Namespace	Provides classes related to presentation.
System.Activities.Presentation.Annotations Namespace	Provides classes related to presentation annotations.
System.Activities.Presentation.Converters Namespace	Provides classes related to converters.
System.Activities.Presentation.Debug Namespace	Provides classes related to presentation debugging.
System.Activities.Presentation.Expressions Namespace	Provides classes related to expressions.
System.Activities.Presentation.Hosting Namespace	Provides classes related to hosting.
System.Activities.Presentation.Metadata Namespace	Provides classes related to presentation metadata.
System.Activities.Presentation.Model Namespace	Provides classes related to presentation model.
System.Activities.Presentation.PropertyEditing Namespace	Provides classes related to property editing.
System.Activities.Presentation.Services Namespace	Provides classes related to presentation services.
System.Activities.Presentation.Sqm Namespace	Provides classes related to SQM.
System.Activities.Presentation.Toolbox Namespace	Classes related to the presentation toolbox.
System.Activities.Presentation.Validation Namespace	Provides classes related to validation.
System.Activities.Presentation.View Namespace	Provides classes related to presentation views.
System.Activities.Presentation.View.OutlineView Namespace	Provides classes related to the outline view.
System.Activities.Presentation.ViewState Namespace	Provides classes related to view state data and management of view states.
System.Activities.Statements Namespace	Provides classes related to activity statements.
System.Activities.Statements.Tracking Namespace	Provides classes for monitoring state machine state executions and state transitions.
System.Activities.Tracking Namespace	The System.Activities.Tracking namespace contains classes used to create and interact with workflow tracking records. Tracking records are created by the workflow runtime when a workflow instance executes, and are accessed by classes that inherit from System.Activities.Tracking.TrackingParticipant.
System.Activities.Validation Namespace	Provides classes related to custom activity validation.
System.Activities.XamlIntegration Namespace	Contains classes that provide support for the serialization of activities into XAML.
System.AddIn Namespace	The System.AddIn namespace contains the System.AddIn.AddInAttribute attribute for identifying add-ins.
System.AddIn.Contract Namespace	The System.AddIn.Contract namespace contains interfaces and structures that provide the basis for communication between components that are updated independently.
System.AddIn.Contract.Automation Namespace	The System.AddIn.Contract.Automation namespace contains interfaces that components use to access type information and invoke type members.
System.AddIn.Contract.Collections Namespace	The System.AddIn.Contract.Collections namespace contains interfaces that define collections of System.AddIn.Contract.IContract and System.AddIn.Contract.RemoteArgument objects.
System.AddIn.Hosting Namespace	The System.AddIn.Hosting namespace provides classes for discovering, registering, activating, and controlling Add-Ins.
System.AddIn.Pipeline Namespace	The System.AddIn.Pipeline namespace provides classes for constructing the communication pipeline between a host application and an add-in.
System.CodeDom Namespace	The System.CodeDom namespace contains classes that can be used to represent the elements and structure of a source code document. The classes in this namespace can be used to model the structure of a source code document that can be output as source code in a supported language using the functionality provided by the System.CodeDom.Compiler namespace.
System.CodeDom.Compiler Namespace	The System.CodeDom.Compiler namespace contains types for managing the generation and compilation of source code in supported programming languages. Code generators can each produce source code in a particular programming language based on the structure of Code Document Object Model (CodeDOM) source code models consisting of elements provided by the System.CodeDom namespace.
System.Collections Namespace	The System.Collections namespace contains interfaces and classes that define various collections of objects, such as lists, queues, bit arrays, hash tables and dictionaries.
System.Collections.Concurrent Namespace	The System.Collections.Concurrent namespace provides several thread-safe collection classes that should be used in place of the corresponding types in the System.Collections and System.Collections.Generic namespaces whenever multiple threads are accessing the collection concurrently. However, members accessed through one of the interfaces the current collections implement, including extension methods, are not guaranteed to be thread safe and may need to be synchronized by the caller.
System.Collections.Generic Namespace	The System.Collections.Generic namespace contains interfaces and classes that define generic collections, which allow users to create strongly typed collections that provide better type safety and performance than non-generic strongly typed collections.
System.Collections.ObjectModel Namespace	The System.Collections.ObjectModel namespace contains classes that can be used as collections in the object model of a reusable library. Use these classes when properties or methods return collections.
System.Collections.Specialized Namespace	The System.Collections.Specialized namespace contains specialized and strongly-typed collections; for example, a linked list dictionary, a bit vector, and collections that contain only strings.
System.ComponentModel Namespace	The System.ComponentModel namespace provides classes that are used to implement the run-time and design-time behavior of components and controls. This namespace includes the base classes and interfaces for implementing attributes and type converters, binding to data sources, and licensing components.
System.ComponentModel.Composition Namespace	This namespace provides classes that constitute the core of the Managed Extensibility Framework, or MEF.
System.ComponentModel.Composition.Hosting Namespace	The System.ComponentModel.Composition.Hosting namespace provides Managed Extensibility Framework (MEF) types that are useful to developers of extensible applications, or hosts.
System.ComponentModel.Composition.Primitives Namespace	This namespace provides the primitive types underlying the MEF programming model.
System.ComponentModel.Composition.ReflectionModel Namespace	The System.ComponentModel.Composition.ReflectionModel namespace provides Managed Extensibility Framework (MEF) types for developers who use a reflection-based programming model.
System.ComponentModel.Composition.Registration Namespace	The System.ComponentModel.Composition.Registration namespace contains types that enable rule-based configuration of Managed Extensibility Framework (MEF) parts.
System.ComponentModel.DataAnnotations Namespace	The System.ComponentModel.DataAnnotations namespace provides attribute classes that are used to define metadata for ASP.NET MVC and ASP.NET data controls.
