Full name	Identifier	FSF Free/Libre?	OSI Approved?	Text
BSD Zero Clause License	0BSD			License Text
Attribution Assurance License	AAL		Y	License Text
Abstyles License	Abstyles			License Text
Adobe Systems Incorporated Source Code License Agreement	Adobe-2006			License Text
Adobe Glyph List License	Adobe-Glyph			License Text
Amazon Digital Services License	ADSL			License Text
Academic Free License v1.1	AFL-1.1	Y	Y	License Text
Academic Free License v1.2	AFL-1.2	Y	Y	License Text
Academic Free License v2.0	AFL-2.0	Y	Y	License Text
Academic Free License v2.1	AFL-2.1	Y	Y	License Text
Academic Free License v3.0	AFL-3.0	Y	Y	License Text
Afmparse License	Afmparse			License Text
Affero General Public License v1.0	AGPL-1.0	Y		License Text
GNU Affero General Public License v3.0 only	AGPL-3.0-only		Y	License Text
GNU Affero General Public License v3.0 or later	AGPL-3.0-or-later		Y	License Text
Aladdin Free Public License	Aladdin			License Text
AMD's plpa_map.c License	AMDPLPA			License Text
Apple MIT License	AML			License Text
Academy of Motion Picture Arts and Sciences BSD	AMPAS			License Text
ANTLR Software Rights Notice	ANTLR-PD			License Text
Apache License 1.0	Apache-1.0	Y		License Text
Apache License 1.1	Apache-1.1	Y	Y	License Text
Apache License 2.0	Apache-2.0	Y	Y	License Text
Adobe Postscript AFM License	APAFML			License Text
Adaptive Public License 1.0	APL-1.0		Y	License Text
Apple Public Source License 1.0	APSL-1.0		Y	License Text
Apple Public Source License 1.1	APSL-1.1		Y	License Text
Apple Public Source License 1.2	APSL-1.2		Y	License Text
Apple Public Source License 2.0	APSL-2.0	Y	Y	License Text
Artistic License 1.0 w/clause 8	Artistic-1.0-cl8		Y	License Text
Artistic License 1.0 (Perl)	Artistic-1.0-Perl		Y	License Text
Artistic License 1.0	Artistic-1.0		Y	License Text
Artistic License 2.0	Artistic-2.0	Y	Y	License Text
Bahyph License	Bahyph			License Text
Barr License	Barr			License Text
Beerware License	Beerware			License Text
BitTorrent Open Source License v1.0	BitTorrent-1.0			License Text
BitTorrent Open Source License v1.1	BitTorrent-1.1	Y		License Text
Borceux license	Borceux			License Text
BSD 1-Clause License	BSD-1-Clause			License Text
BSD 2-Clause FreeBSD License	BSD-2-Clause-FreeBSD	Y		License Text
BSD 2-Clause NetBSD License	BSD-2-Clause-NetBSD			License Text
BSD-2-Clause Plus Patent License	BSD-2-Clause-Patent		Y	License Text
BSD 2-Clause "Simplified" License	BSD-2-Clause		Y	License Text
BSD with attribution	BSD-3-Clause-Attribution			License Text
BSD 3-Clause Clear License	BSD-3-Clause-Clear	Y		License Text
Lawrence Berkeley National Labs BSD variant license	BSD-3-Clause-LBNL			License Text
BSD 3-Clause No Nuclear License 2014	BSD-3-Clause-No-Nuclear-License-2014			License Text
