COUNTRY_CODE,DIALING_PREFIX,DISPLAY_DIALING_PREFIX
CA,1,1 (CA)
US,1,1 (US)
KZ,7,7 (KZ)
BS,1,1 (BS)
BB,1,1 (BB)
AI,1,1 (AI)
AG,1,1 (AG)
VG,1,1 (VG)
VI,1,1 (VI)
KY,1,1 (KY)
BM,1,1 (BM)
GD,1,1 (GD)
TC,1,1 (TC)
MS,1,1 (MS)
MP,1,1 (MP)
GU,1,1 (GU)
AS,1,1 (AS)
S1,1,1 (S1)
LC,1,1 (LC)
DM,1,1 (DM)
VC,1,1 (VC)
PR,1,1 (PR)
PR,1,1 (PR)
DO,1,1 (DO)
TT,1,1 (TT)
KN,1,1 (KN)
JM,1,1 (JM)
RU,7,7 (RU)
EG,20,20 (EG)
ZA,27,27 (ZA)
GR,30,30 (GR)
NL,31,31 (NL)
BE,32,32 (BE)
FR,33,33 (FR)
ES,34,34 (ES)
HU,36,36 (HU)
IT,39,39 (IT)
RO,40,40 (RO)
CH,41,41 (CH)
AT,43,43 (AT)
GB,44,44 (GB)
DK,45,45 (DK)
SE,46,46 (SE)
NO,47,47 (NO)
SJ,47,47 (SJ)
PL,48,48 (PL)
DE,49,49 (DE)
PE,51,51 (PE)
MX,52,52 (MX)
CU,53,53 (CU)
AR,54,54 (AR)
BR,55,55 (BR)
CL,56,56 (CL)
CO,57,57 (CO)
VE,58,58 (VE)
MY,60,60 (MY)
AU,61,61 (AU)
CX,61,61 (CX)
CC,61,61 (CC)
ID,62,62 (ID)
PH,63,63 (PH)
NZ,64,64 (NZ)
PN,64,64 (PN)
SG,65,65 (SG)
TH,66,66 (TH)
JP,81,81 (JP)
KR,82,82 (KR)
VN,84,84 (VN)
CN,86,86 (CN)
TR,90,90 (TR)
IN,91,91 (IN)
PK,92,92 (PK)
AF,93,93 (AF)
LK,94,94 (LK)
MM,95,95 (MM)
IR,98,98 (IR)
SS,211,211 (SS)
MA,212,212 (MA)
EH,212,212 (EH)
DZ,213,213 (DZ)
TN,216,216 (TN)
LY,218,218 (LY)
GM,220,220 (GM)
SN,221,221 (SN)
MR,222,222 (MR)
ML,223,223 (ML)
GN,224,224 (GN)
CI,225,225 (CI)
BF,226,226 (BF)
NE,227,227 (NE)
TG,228,228 (TG)
BJ,229,229 (BJ)
MU,230,230 (MU)
LR,231,231 (LR)
SL,232,232 (SL)
GH,233,233 (GH)
NG,234,234 (NG)
TD,235,235 (TD)
CF,236,236 (CF)
CM,237,237 (CM)
CV,238,238 (CV)
ST,239,239 (ST)
GQ,240,240 (GQ)
GA,241,241 (GA)
CG,242,242 (CG)
CD,243,243 (CD)
AO,244,244 (AO)
GW,245,245 (GW)
IO,246,246 (IO)
SC,248,248 (SC)
SD,249,249 (SD)
RW,250,250 (RW)
ET,251,251 (ET)
SO,252,252 (SO)
DJ,253,253 (DJ)
KE,254,254 (KE)
TZ,255,255 (TZ)
UG,256,256 (UG)
BI,257,257 (BI)
MZ,258,258 (MZ)
ZM,260,260 (ZM)
MG,261,261 (MG)
YT,262,262 (YT)
RE,262,262 (RE)
ZW,263,263 (ZW)
NA,264,264 (NA)
MW,265,265 (MW)
LS,266,266 (LS)
BW,267,267 (BW)
SZ,268,268 (SZ)
KM,269,269 (KM)
SH,290,290 (SH)
ER,291,291 (ER)
AW,297,297 (AW)
FO,298,298 (FO)
GL,299,299 (GL)
GI,350,350 (GI)
PT,351,351 (PT)
LU,352,352 (LU)
IE,353,353 (IE)
IS,354,354 (IS)
AL,355,355 (AL)
MT,356,356 (MT)
CY,357,357 (CY)
FI,358,358 (FI)
BG,359,359 (BG)
LT,370,370 (LT)
LV,371,371 (LV)
EE,372,372 (EE)
MD,373,373 (MD)
AM,374,374 (AM)
BY,375,375 (BY)
AD,376,376 (AD)
MC,377,377 (MC)
SM,378,378 (SM)
VA,379,379 (VA)
UA,380,380 (UA)
RS,381,381 (RS)
ME,382,382 (ME)
XK,383,383 (XK)
HR,385,385 (HR)
SI,386,386 (SI)
BA,387,387 (BA)
MK,389,389 (MK)
CZ,420,420 (CZ)
SK,421,421 (SK)
LI,423,423 (LI)
FK,500,500 (FK)
BZ,501,501 (BZ)
GT,502,502 (GT)
SV,503,503 (SV)
HN,504,504 (HN)
NI,505,505 (NI)
CR,506,506 (CR)
PA,507,507 (PA)
PM,508,508 (PM)
HT,509,509 (HT)
BL,590,590 (BL)
MF,590,590 (MF)
BO,591,591 (BO)
GY,592,592 (GY)
EC,593,593 (EC)
PY,595,595 (PY)
SR,597,597 (SR)
UY,598,598 (UY)
CW,599,599 (CW)
AN,599,599 (AN)
TL,670,670 (TL)
AQ,672,672 (AQ)
BN,673,673 (BN)
NR,674,674 (NR)
PG,675,675 (PG)
TO,676,676 (TO)
SB,677,677 (SB)
VU,678,678 (VU)
FJ,679,679 (FJ)
PW,680,680 (PW)
WF,681,681 (WF)
CK,682,682 (CK)
NU,683,683 (NU)
WS,685,685 (WS)
KI,686,686 (KI)
NC,687,687 (NC)
TV,688,688 (TV)
PF,689,689 (PF)
TK,690,690 (TK)
FM,691,691 (FM)
MH,692,692 (MH)
KP,850,850 (KP)
HK,852,852 (HK)
MO,853,853 (MO)
KH,855,855 (KH)
LA,856,856 (LA)
BD,880,880 (BD)
TW,886,886 (TW)
MV,960,960 (MV)
LB,961,961 (LB)
JO,962,962 (JO)
SY,963,963 (SY)
IQ,964,964 (IQ)
KW,965,965 (KW)
SA,966,966 (SA)
YE,967,967 (YE)
OM,968,968 (OM)
PS,970,970 (PS)
AE,971,971 (AE)
IL,972,972 (IL)
BH,973,973 (BH)
QA,974,974 (QA)
BT,975,975 (BT)
MN,976,976 (MN)
NP,977,977 (NP)
TJ,992,992 (TJ)
TM,993,993 (TM)
AZ,994,994 (AZ)
GE,995,995 (GE)
KG,996,996 (KG)
UZ,998,998 (UZ)
