Character,Word,Pronunciation
A,Alfa,AL-FAH
B,Bravo,BRAH-VOH
C,Charlie,CHAR-LEE
D,Delta,DELL-TAH
E,Echo,ECK-OH
F,Foxtrot,FOKS-TROT
G,Golf,GOLF
H,Hotel,HO-TELL
0,Zero,ZE-RO
1,One,WUN
2,Two,TOO
3,Three,TREE
4,Four,FOW-er
5,Five,FIFE
6,Six,SIX
7,Seven,SEV-en
8,Eight,AIT
9,Nine,NIN-er
.,Decimal,DAY-SEE-MAL
100,Hundred,HUN-dred
1000,Thousand,TOU-sand
I,India,IN-DEE-AH
J,Juliet,JEW-LEE-ETT
K,Kilo,KEY-LOH
L,Lima,LEE-MAH
M,Mike,MIKE
N,November,NO-VEM-BER
O,Oscar,OSS-CAH
P,Papa,PAH-PAH
Q,Quebec,KEH-BECK
R,Romeo,ROW-ME-OH
S,Sierra,SEE-AIR-RAH
T,Tango,TANG-GO
U,Uniform,YOU-NE-FORM
V,Victor,VIK-TAH
W,Whiskey,WISS-KEY
X,Xray,ECKS-RAY
Y,Yankee,YANG-KEY
Z,Zulu,ZOO-LOO
