Destination,Prefix,First Interval,Sub Interval,Rate,Status,Start Date,End Date
AFGHANISTAN - CDMA,9375,30,6,0.2875,Current,2010-06-26 06:55:00,
AFGHANISTAN - HERAT,9340,30,6,0.2875,Current,2010-06-26 06:55:00,
AFGHANISTAN - JALALABAD,9360,30,6,0.2875,Current,2010-06-26 06:55:00,
AFGHANISTAN - KABUL,9320,30,6,0.2875,Current,2010-06-26 06:55:00,
AFGHANISTAN - KANDAHAR,9330,30,6,0.2875,Current,2010-06-26 06:55:00,
AFGHANISTAN - MAZAR-E-SHARIF,9350,30,6,0.2875,Current,2010-06-26 06:55:00,
AFGHANISTAN - MOBILE,937,30,6,0.2875,Current,2010-06-26 06:55:00,
AFGHANISTAN - MOBILE - AREEBA,9377,30,6,0.2426,Current,2010-07-02 11:06:58.484053,
AFGHANISTAN - MOBILE - AWCC,9370,30,6,0.2426,Current,2010-07-02 11:06:58.484053,
AFGHANISTAN - MOBILE - OTHER CARRIERS,9378,30,6,0.2426,Current,2010-07-02 11:06:58.484053,
AFGHANISTAN - MOBILE - ROSHAN,9379,30,6,0.2299,Current,2010-07-02 11:06:58.484053,
AFGHANISTAN - PROPER,93,30,6,0.2875,Current,2010-06-26 06:55:00,
ALBANIA 0 OLO GROUP,3554249,30,6,0.0326,Current,2010-07-02 11:06:58.484053,
ALBANIA - MOBILE - AMC,35568,30,6,0.3379,Current,2010-07-02 11:06:58.484053,
ALBANIA - MOBILE - EAGLE,35567,30,6,0.3355,Current,2010-07-02 11:06:58.484053,
ALBANIA - MOBILE - VODAFONE,35569,30,6,0.3482,Current,2010-07-02 11:06:58.484053,
ALBANIA - PROPER,355,30,6,0.0596,Current,2010-07-02 11:06:58.484053,
ALBANIA - TIRANE,3554,30,6,0.0596,Current,2010-07-02 11:06:58.484053,
ALBANIA - TIRANE,35541,30,6,0.0596,Current,2010-07-02 11:06:58.484053,
ALBANIA - TIRANE,35542,30,6,0.0286,Current,2010-07-02 11:06:58.484053,
ALBANIA - TIRANE,35543,30,6,0.0596,Current,2010-07-02 11:06:58.484053,
ALBANIA - TIRANE,35544,30,6,0.0596,Current,2010-07-02 11:06:58.484053,
ALBANIA - TIRANE,35545,30,6,0.0596,Current,2010-07-02 11:06:58.484053,
ALBANIA - TIRANE,35546,30,6,0.0596,Current,2010-07-02 11:06:58.484053,
ALGERIA - ALGIERS,21321,30,6,0.0906,Current,2010-07-02 11:06:58.484053,
ALGERIA - CAT,2131,30,6,0.2043,Current,2010-07-02 11:06:58.484053,
ALGERIA - MOBILE - MOBILIS,21366,30,6,0.1906,Current,2010-07-02 11:06:58.484053,
ALGERIA - MOBILE - MOBILIS,21369,30,6,0.1906,Current,2010-07-02 11:06:58.484053,
ALGERIA - MOBILE - MOBILIS,213697,30,6,0.1906,Current,2010-07-02 11:06:58.484053,
ALGERIA - MOBILE - MOBILIS,213698,30,6,0.1906,Current,2010-07-02 11:06:58.484053,
ALGERIA - MOBILE - MOBILIS,213699,30,6,0.1906,Current,2010-07-02 11:06:58.484053,
ALGERIA - MOBILE - ORASCOM,21377,30,6,0.4291,Current,2010-07-02 11:06:58.484053,
ALGERIA - MOBILE - ORASCOM,21379,30,6,0.4291,Current,2010-07-02 11:06:58.484053,
ALGERIA - MOBILE - WATANIYA,21355,30,6,0.4420,Current,2010-07-02 11:06:58.484053,
ALGERIA - PROPER,213,30,6,0.0906,Current,2010-07-02 11:06:58.484053,
ALGERIA WATANIYA MOBILE,213560,30,6,0.0890,Current,2010-07-02 11:06:58.484053,
AMERICAN SAMOA - MOBILE,16842,30,6,0.2385,Current,2010-06-26 06:55:00,
AMERICAN SAMOA - MOBILE,168473,30,6,0.2385,Current,2010-06-26 06:55:00,
AMERICAN SAMOA - PROPER,1684,30,6,0.2385,Current,2010-06-26 06:55:00,
ANDORRA - MOBILE,3763,30,6,0.4070,Current,2010-07-02 11:06:58.484053,
ANDORRA - MOBILE,3764,30,6,0.4070,Current,2010-07-02 11:06:58.484053,
ANDORRA - MOBILE,3766,30,6,0.4070,Current,2010-07-02 11:06:58.484053,
ANDORRA - PROPER,376,30,6,0.0461,Current,2010-07-02 11:06:58.484053,
ANGOLA - MOBILE,24491,30,6,0.1892,Current,2010-07-02 11:06:58.484053,
ANGOLA - MOBILE,24492,30,6,0.1892,Current,2010-07-02 11:06:58.484053,
ANGOLA (MOBILE),24493,30,6,0.1892,Current,2010-07-02 11:06:58.484053,
ANGOLA - PROPER,244,30,6,0.1353,Current,2010-07-02 11:06:58.484053,
"ANGUILLA, MOBILE",1264773,30,6,0.2462,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - DIGICEL,1264581,30,6,0.2798,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - DIGICEL,1264582,30,6,0.2798,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - DIGICEL,1264583,30,6,0.2798,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - DIGICEL,1264584,30,6,0.2798,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - OTHER CARRIERS,1264235,30,6,0.2843,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - OTHER CARRIERS,1264469,30,6,0.2843,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - OTHER CARRIERS,1264476,30,6,0.2843,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - OTHER CARRIERS,1264536,30,6,0.2843,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - OTHER CARRIERS,1264537,30,6,0.2843,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - OTHER CARRIERS,1264538,30,6,0.2843,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - OTHER CARRIERS,1264539,30,6,0.2843,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - OTHER CARRIERS,1264543,30,6,0.2843,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - OTHER CARRIERS,1264729,30,6,0.2843,Current,2010-07-02 11:06:58.484053,
ANGUILLA - MOBILE - OTHER CARRIERS,1264772,30,6,0.2843,Current,2010-07-02 11:06:58.484053,
ANGUILLA - PAGER,1264724,30,6,0.2462,Current,2010-07-02 11:06:58.484053,
ANGUILLA - PROPER,1264,30,6,0.1280,Current,2010-07-02 11:06:58.484053,
ANTARCTICA - CASEY,67212,30,6,1.9954,Current,2010-07-02 11:06:58.484053,
ANTARCTICA - DAVIS,67210,30,6,1.9954,Current,2010-07-02 11:06:58.484053,
ANTARCTICA - MAQUARIE STATION,67213,30,6,1.9954,Current,2010-07-02 11:06:58.484053,
ANTARCTICA - MOBILE - NORFOLK ISLAND,67238,30,6,1.9954,Current,2010-07-02 11:06:58.484053,
ANTARCTICA - NORFOLK ISLAND,6723,30,6,1.9954,Current,2010-07-02 11:06:58.484053,
ANTARCTICA - PROPER,672,30,6,1.9954,Current,2010-07-02 11:06:58.484053,
ANTARCTICA - SCOTT BASE,67211,30,6,1.9954,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268464,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,126872,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268764,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268770,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268771,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268772,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268773,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268774,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268775,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268776,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268778,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268779,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268780,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268781,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268782,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268783,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268784,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268785,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268786,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268788,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - MOBILE,1268789,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - PREMIUM,1268268,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA AND BARBUDA - PROPER,1268,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA & BARBUDA (MOBILE),1268720,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA & BARBUDA (MOBILE),1268721,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA & BARBUDA (MOBILE),1268723,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA & BARBUDA (MOBILE),1268724,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA & BARBUDA (MOBILE),1268725,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA & BARBUDA (MOBILE),1268726,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA & BARBUDA (MOBILE),1268727,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA & BARBUDA (MOBILE),1268728,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA & BARBUDA (MOBILE),1268729,30,6,0.2472,Current,2010-07-02 11:06:58.484053,
ANTIGUA  DIGICEL MOBILE,1268722,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA  DIGICEL MOBILE,1268732,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA  DIGICEL MOBILE,1268734,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ANTIGUA  DIGICEL MOBILE,1268736,30,6,0.1878,Current,2010-07-02 11:06:58.484053,
ARGENTINA - BUENOS AIRES,5411,30,6,0.0161,Current,2010-07-02 11:06:58.484053,
ARGENTINA - BUENOS AIRES MOBILE,54911,30,6,0.0755,Current,2010-07-02 11:06:58.484053,
"ARGENTINA, CAMPANA ZARATE",54348,30,6,0.0316,Current,2010-07-02 11:06:58.484053,
"ARGENTINA, CASILDA",543464,30,6,0.0316,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,54351,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,5435141,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,5435142,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,54351430,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,54351433,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,54351434,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,54351440,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,543514419,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,54351442,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,54351443,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,543514441,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,543514442,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,543514443,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,543514444,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,543514446,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,543514447,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,54351446,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
ARGENTINA - CORDOBA,54351447,30,6,0.0244,Current,2010-07-02 11:06:58.484053,
