3-river-wireless-us:                              number@sms.3rivers.net
advantage-communications-us:                      number@advantagepaging.com
airtouch-pagers-us:                               number@airtouch.net
airvoice-us:                                      number@mmode.com
alltel-pcs-us:                                    number@message.alltel.com
alltel-us:                                        number@message.alltel.com
ameritech-paging-us:                              number@pageapi.com
arch-pagers-pagenet-us:                           number@archwireless.net
att-us:                                           number@txt.att.net
beeline-gsm-ru:                                   number@sms.beemail.ru
bell-mobility-ca:                                 number@txt.bell.ca-ca
bell-south-blackberry-us:                         number@bellsouthtips.com
bell-south-cl:                                    number@bellsouth.cl
bell-south-mobility-us:                           number@blsdcs.net
bell-south-us:                                    number@sms.bellsouth.com
bluegrass-cellular-us:                            number@sms.bluecell.com
blue-sky-frog-au:                                 number@blueskyfrog.com-au
boost-mobile-us:                                  number@myboostmobile.com
boost-us:                                         number@myboostmobile.com
bpl-mobile-in:                                    number@bplmobile.com
cable-and-wireless-pa:                            number@cwmovil.com
callplus-us:                                      number@mmode.com
carolina-mobile-communications-us:                number@cmcpaging.com
celcom-my:                                        019number@sms.celcom.com.my
cellis-libancell-lb:                              9613number@ens.jinny.com.lb
cellular-one-east-coast-us:                       number@phone.cellone.net
cellular-one-pcs-us:                              number@paging.cellone-sf.com
cellular-one-south-west-us:                       number@swmsg.com
cellular-one-us:                                  number@sbcemail.com
cellular-one-west-us:                             number@mycellone.com
cellular-south-us:                                number@csouth1.com
central-vermont-communications-us:                number@cvcpaging.com
centurytel-us:                                    number@messaging.centurytel.net
chennai-rpg-cellular-in:                          number@rpgmail.net
chennai-skycell-airtel-in:                        number@airtelchennai.com
cingular-gsm-us:                                  number@cingularme.com
cingular-tdma-us:                                 number@mmode.com
cingular-us:                                      number@cingularme.com
cingular-wireless-us:                             number@mobile.mycingular.net
communication-specialists-us:                     number@pageme.comspeco.net
comviq-gsm-se:                                    467number@sms.comviq.se
cook-paging-us:                                   number@cookmail.com
corr-wireless-communications-us:                  number@corrwireless.net
delhi-aritel-in:                                  number@airtelmail.com
delhi-hutch-in:                                   number@delhi.hutch.co.in
dobson-alex-wireless-dobson-cellular-one-us:      number@mobile.cellularone.com
dobson-communications-corporation-us:             number@mobile.dobson.net
dutchtoner-orange-nl:                             number@sms.orange.nl
edge-wireless-us:                                 number@sms.edgewireless.com
emt-ee:                                           number@sms.emt.ee
e-plus-de:                                        0177number.sms@eplus.de
europolitan-se:                                   4670number@europolitan.se
eurotel-cz:                                       +ccaanumber@sms.eurotel.cz
fido-ca:                                          number@fido.ca-ca
galaxy-corporation-us:                            number@sendabeep.net
gcs-paging-us:                                    number@webpager.us
golden-telecom-ua:                                number@sms.goldentele.com
graylink-porta-phone-us:                          number@epage.porta-phone.com
gte-us:                                           number@gte.pagegate.net
houston-cellular-us:                              number@text.houstoncellular.net
idea-cellular-in:                                 number@ideacellular.net
inland-cellular-telephone-us:                     number@inlandlink.com
jsm-tele-page-us:                                 number@jsmtel.com
kyivstar-lv:                                      number@smsmail.lmt.lv
kyivstar-ua:                                      number@2sms.kyivstar.net
lauttamus-communication-us:                       number@e-page.net
lmt-lv:                                           9number@smsmail.lmt.lv
manitoba-telecom-systems-ca:                      number@text.mtsmobility.com-ca
mannesmann-mobilefunk-de:                         number@d2-message.de
maxmobil-at:                                      number@max.mail.at
mci-phone-us:                                     number@mci.com
mci-us:                                           number@pagemci.com
meteor-ie:                                        number@sms.mymeteor.ie
metrocall-2-way-us:                               number@my2way.com
metrocall-us:                                     number@page.metrocall.com
metro-pcs-us:                                     number@mymetropcs.com
metropcs-us:                                      number@mymetropcs.com
microcell-ca:                                     number@fido.ca-ca
midwest-wireless-us:                              number@clearlydigital.com
miworld-sg:                                       number@m1.com.sg
