15M          Fifteen minutes
15S          Fifteen seconds
1CF          Singal party coing first pay phone
1FAC         Interface packs
1FB          One party flat business rate
1OF          One party official (telco) business line
2SPDT        Partial dial timeout in the second stage of a traditional 2-stage international
2SPST        Permanent signal timeout in the second stage of a traditional 2-stage international
2SVCA        Vacant code in the second stage of a traditional 2-stage international outbound
2W           Two wire (pair) (circuit)
2WAY         Two-way trunk groups
300          Log command menu (SARTS command)
376          Log clear (SARTS command)
384          Write log (SARTS command)
385          Read log (SARTS command)
399          Log print (SARTS command)
3KHZ         Three kilohertz
3RNGR        Three ringer
3WO          Third wire open
4W           Four wire (pair) (circuit)
600          Test menu (SARTS command)
600B         600-ohm briged connection
611          Detail tests (SARTS command)
621          Macro command menu (SARTS command)
631          Automatic test command (SARTS command)
735T         735-ohm compromise termination
?A           Action field contains an error
?D           Data field contains an error
?E           Error exist in the message but cannot be resolved to the proper field
?I           Identification field contains an error
?T           Time-out has occured on channel
?W           Warning message
A            A side (lead) (pair)
A            Area
A            Telephone number or trunk group and member number from trouble
A/B          Two wire phone connection (T&R)
AA           Automatic answer
AA           Packet analog access line INTER/TRA blocal 1-26
AABS         Automatic alternate billing service
AAE          Auxiliary access equipment
AAR          Automatic alternate routing
AAX          Automated attendant exchange
AB           Packet switch trunk INTER/TRA blocal 1-26
ABATS        Automatic bit access test system
ABATS        Automatic bit access test system (DDS service)
ABC          Automatic bill calling (TSPS)
ABF          Abandon failure
ABF          Abandon failure (MDII)
ABHC         Average busy hour calls
ABL          Auxiliary Buffer oder word Left half
ABM          Asynchronous balanced mode ( -> SABME)
ABME         ABM extended
ABR          Auxiliary Buffer order word Right half
ABS          Alternate billing service
ABS          Alternative billing service
ABSBH        Average busy season busy hour
ABT          Abort
ABV          Above
AC           Administrative computer
AC           Alternating current
AC           Assembly code
ACA          Asynchronous communication adapter
ACB          Annoyance call bureau
ACB          Automatic call-back
ACC          Audio communications controller
ACCS         Automated calling card service
ACD          Automatic call distribution
ACD          Automatic call distributor
ACDA         Automatic call disposition analyzer
ACDN         Access Directory Number
ACDN         Access directory number
