################################################################
# abuse.ch SSLBL Extended                                      #
# Last updated: 2017-02-10 09:45:01 (UTC)                      #
#                                                              #
# Terms Of Use: https://sslbl.abuse.ch/blacklist/              #
# For questions please contact sslbl [at] abuse.ch             #
################################################################
#
# Timestamp of Listing (UTC),Referencing Sample (MD5),Destination IP,Destination Port,SSL certificate SHA1 Fingerprint,Listing reason
2017-02-09 13:27:49,71aaf68437dbe995dd1d8dd7f1021e6a,159.226.92.9,4431,935c76426a91f4bc38a0f876b53b0bc27a57ba83,Dridex C&C
2017-02-09 08:07:41,58a7a58655718d3685e0777614129011,185.31.209.41,443,b093d2ee304ee3f3aa7b3eac7a848fce0e4b9095,TorrentLocker C&C
2017-02-08 09:07:38,6dff8c047f5da70b72aa14a0a3d0d58f,178.250.243.146,443,66e87d1e559f4c28c45cef852f74d137212a0e6f,TorrentLocker C&C
2017-02-08 09:07:36,6dff8c047f5da70b72aa14a0a3d0d58f,185.146.1.36,443,ba6c9797221f841e9f488bcc2ed08059397091bf,TorrentLocker C&C
2017-02-08 06:43:32,315044424d854d012f4bac9d3ab2b416,5.101.120.73,8343,2126965507ebde325e1bc42ca14d3d1f681b96eb,Dridex C&C
2017-02-07 10:48:36,f61465b24767daf46250ffb72523829b,188.127.249.70,443,cc09f35423a1c108c992854fab1fb77f44755782,TorrentLocker C&C
2017-02-07 10:05:14,21cf74cc76d4b651f3856cd44808e897,212.116.113.184,443,46bd7bb0eedb1b0e055230eeb76ed1dfdb41dafc,TorrentLocker C&C
2017-02-07 08:18:29,e113bf1d39d3faf58983bd225f0a9410,136.243.209.34,443,aa1e69d13fc190b5917ef69fa1abf3863f2115aa,Dridex C&C
2017-02-07 08:18:29,f91acc5d026180c29ab7cbb17519562d,136.243.209.34,443,aa1e69d13fc190b5917ef69fa1abf3863f2115aa,Dridex C&C
2017-02-07 08:18:29,71aaf68437dbe995dd1d8dd7f1021e6a,136.243.209.34,443,aa1e69d13fc190b5917ef69fa1abf3863f2115aa,Dridex C&C
2017-02-06 16:05:02,66317f519ce67a86d3fc634b4b8f2aa1,188.226.154.38,2221,346e1ba000e1a91fb5a1dbb97ffeaa1dde412c5f,Dridex C&C
2017-02-06 16:05:02,130917578fb41f7737fa475cc74f7890,188.226.154.38,2221,346e1ba000e1a91fb5a1dbb97ffeaa1dde412c5f,Dridex C&C
2017-02-06 16:05:01,130917578fb41f7737fa475cc74f7890,194.190.161.63,1503,5da58a8adbfce0807e8e1ebe8f54319798ec174e,Dridex C&C
2017-02-06 16:04:59,130917578fb41f7737fa475cc74f7890,51.254.129.140,4443,7c0362463cc2bbdd16b9d2e246f0e4489b1fc3b7,Dridex C&C
2017-02-06 16:04:59,66317f519ce67a86d3fc634b4b8f2aa1,51.254.129.140,4443,7c0362463cc2bbdd16b9d2e246f0e4489b1fc3b7,Dridex C&C
2017-02-06 16:04:58,130917578fb41f7737fa475cc74f7890,91.121.30.169,4431,6ce3740140128cf5500b56e1b5020bc22de647a1,Dridex C&C
2017-02-06 16:04:58,66317f519ce67a86d3fc634b4b8f2aa1,91.121.30.169,4431,6ce3740140128cf5500b56e1b5020bc22de647a1,Dridex C&C
2017-02-02 14:31:39,ff2ab4bac1909504d11c93a482b7bf46,146.185.243.51,443,bc2a55d2bcb8c1f7ae755801d8b0709034144ece,TorrentLocker C&C
2017-02-02 07:53:19,10af48cbeac4d0c8ea24fdace352a0fb,151.248.121.8,443,1d1b4f67f070df5cae8f39553978f0adb3abd0c0,Gozi C&C
2017-02-02 07:53:18,10af48cbeac4d0c8ea24fdace352a0fb,194.58.122.43,443,3ba9d829ac97f929db1a5590d01f2903067e0bb5,Gozi C&C
2017-02-02 07:36:22,f104fccb4d3fd9fb8eaa8cee370c20c1,178.208.81.147,443,1f2093d33c6aaa0f1e9365991f37cc27623e2cf7,FindPOS C&C
2017-01-30 14:49:08,0933a47a308acc51e695b3b6ab2a5b3c,109.235.76.95,1843,cd48bd25003a233387c6a3991d9474dad364ca9a,Dridex C&C
2017-01-30 14:49:08,0f82ced503c6024c8bfa009b43d16474,109.235.76.95,1843,cd48bd25003a233387c6a3991d9474dad364ca9a,Dridex C&C
2017-01-30 14:49:08,71aaf68437dbe995dd1d8dd7f1021e6a,109.235.76.95,1843,cd48bd25003a233387c6a3991d9474dad364ca9a,Dridex C&C
2017-01-30 14:49:08,e113bf1d39d3faf58983bd225f0a9410,109.235.76.95,1843,cd48bd25003a233387c6a3991d9474dad364ca9a,Dridex C&C
2017-01-30 14:49:06,0933a47a308acc51e695b3b6ab2a5b3c,194.150.118.25,3101,7e1789fa7e4d346980c1157eeacc0d492dd5bea4,Dridex C&C
2017-01-30 14:49:06,0f82ced503c6024c8bfa009b43d16474,194.150.118.25,3101,7e1789fa7e4d346980c1157eeacc0d492dd5bea4,Dridex C&C
2017-01-30 14:49:06,71aaf68437dbe995dd1d8dd7f1021e6a,194.150.118.25,3101,7e1789fa7e4d346980c1157eeacc0d492dd5bea4,Dridex C&C
2017-01-30 14:49:05,0933a47a308acc51e695b3b6ab2a5b3c,209.20.67.87,5353,4e1c98bd2640f3ac8e1c9ab20cb835bd33b79da1,Dridex C&C
2017-01-30 14:49:05,71aaf68437dbe995dd1d8dd7f1021e6a,209.20.67.87,5353,4e1c98bd2640f3ac8e1c9ab20cb835bd33b79da1,Dridex C&C
2017-01-30 09:57:51,3a05418f235533204a573aa058a42f8a,31.184.198.27,443,9ba59e04a7c8be3d94025d5319160d9cf016a843,Chthonic C&C
2017-01-29 09:37:56,0e790f5860aa5e457539191f15f95dd8,216.218.208.114,80,1b1eedd19f9f11337ebae28a03c4a9d660eeb3a8,Gootkit C&C
