{5EEFEBDB-E90C-423A-8ABF-0241E7C5B87D}  Windows Firewall Service
{5EBB59D1-4739-4E45-872D-B8703956D84B}  Deduplication Tracing Provider
{7E2DBFC7-41E8-4987-BCA7-76CADFAD765F}  FD WSDAPI Trace
{485E7DE9-0A80-11D8-AD15-505054503030}  UMDF - Framework Trace
{1AB5AC29-037F-43A1-9484-78C9DB61F869}  WPD ShellServiceObject Trace
{127D46AF-4AD3-489F-9165-F00BA64D5467}  File Kernel Trace; Volume To Log
{0DD082C4-66F2-271F-74BA-2BF1F9F65C66}  OLEDB.1
{E2A24A32-00DC-4025-9689-C108C01991C5}  EA IME API
{791CD79C-65B5-48A3-804C-786048994F47}  Microsoft-Windows-OfflineFiles-CscFastSync
{935F4AE6-845D-41C6-97FA-380DAD429B72}  AuthFw NetShell Plugin
{BBA3ADD2-C229-4CDB-AE2B-57EB6966B0C4}  Active Directory: Kerberos Client
{45350D79-4497-42F1-BD1B-83587575B91A}  WPD ClassInstaller Trace
{8E0E93FB-76AD-42EE-8770-B9DFEA596F65}  Microsoft-Windows-Fax
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E9F}  IMAPI2 MSF
{A0A352C5-B8EC-41E9-9936-8452C1C0A6CF}  WPD ClassExtension Trace
{FF9E2BDD-0E24-437C-84BE-7CFCAE635808}  UMPass Driver Trace
{222962AB-6180-4B88-A825-346B75F2A24A}  Heap Trace Provider
{DB1D0418-105A-4C77-9A25-8F96A19716A4}  FD SSDP Trace
{D9131565-E1DD-4C9E-A728-951999C2ADB5}  Network Profile Manager
{485E7DEF-0A80-11D8-AD15-505054503030}  UMDF - Lpc Trace
{BD568F20-FCCD-B948-054E-DB3421115D61}  DBNETLIB.1
{0C5A3172-2248-44FD-B9A6-8389CB1DC56A}  WLAN AutoConfig Trace
{20C46239-D059-4214-A11E-7D6769CBE020}  Microsoft-Windows-Remote-FileSystem-Log
{D905AC1D-65E7-4242-99EA-FE66A8355DF8}  Native WIFI MSM Trace
{89D89015-C0DF-414C-BC48-F50E114832BC}  Microsoft-Windows-OfflineFiles-CscService
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E9E}  IMAPI2 Interleave Stream
{6B510852-3583-4E2D-AFFE-A67F9F223438}  Security: Kerberos Authentication
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E9D}  IMAPI2 Concatenate Stream
{485E7DF0-0A80-11D8-AD15-505054503030}  UMDF - Host Process Trace
{1FF6B227-2CA7-40F9-9A66-980EADAA602E}  WMI_Tracing
{CCC64809-6B5F-4C1B-AB39-336904DA9B3B}  Microsoft-Windows-LLTD-Mapper
{DAA6CAF5-6678-43F8-A6FE-B40EE096E00E}  RDP4VSTrace
{1311095B-B9FF-497A-8560-2F43CA5438E4}  WPD FSDriver Trace
{1BABEFB4-59CB-49E5-9698-FD38AC830A91}  msiscsi_iScsi
{74A75B02-36D8-EDE6-D10E-95B691503408}  RowsetHelper.1
{8A8B5246-6EB6-4339-8B59-B0085B9F4890}  Mobility Center Performance Trace
{C5BFFE2E-9D87-D568-A09E-08FC83D0C7C2}  SQLOLEDB_1
